ModelCat,Model,MSE,RMSE
General,CNN,15.486858585270381,3.93533462176603
General,RNN,0.021303447333975125,0.14595700508702938
General,GRU,0.02447575908312606,0.15644730449300193
General,LSTM,0.016733268882254584,0.129357136959097
MA,CNN,8.86661432306189,2.9776860685878037
MA,RNN,0.0760800205713019,0.27582606941930254
MA,GRU,0.2109931764306895,0.45933993559311764
MA,LSTM,0.5272739451182981,0.7261363130420473
AE,CNN,1.531025639764262,1.237346208530281
AE,RNN,0.035927473841199355,0.1895454400432766
AE,GRU,0.020621851702086937,0.14360310477871618
AE,LSTM,0.015207376568997658,0.12331819236835115
MA AE,CNN,1.8855911421820915,1.373168286184214
MA AE,RNN,0.23766096664931022,0.48750483756503404
MA AE,GRU,0.157604155367307,0.39699389840060134
MA AE,LSTM,0.3266640306324446,0.5715453005951887
HY,HY CNN LSTM,0.8441213279017513,0.9187607566182566
HY,HY LSTM RNN GRU,0.05485375637453337,0.23420878799595324
HY,HY CNN RNN GRU,0.8431189183245332,0.9182150719327871
HY,HY CNN GRU,0.8376599898179323,0.9152376684872254
HY,HY RNN GRU,0.019242848786015794,0.13871859567489786
HY,HY RNN LSTM,0.017704596960516253,0.1330586222704724
MA HY,MA HY CNN LSTM,0.8451706032125605,0.9193316067733995
MA HY,MA HY LSTM RNN GRU,0.1693397787960011,0.4115091478885993
MA HY,MA HY CNN RNN GRU,0.8479128339392108,0.9208218252947803
MA HY,MA HY CNN GRU,0.8492116895586016,0.9215268251975097
MA HY,MA HY RNN GRU,0.13840013594581257,0.3720216874670247
MA HY,MA HY RNN LSTM,0.14484963218137034,0.3805911614598667
