Model,MSE,MAE,R2,RMSE
CNN,0.021143843850726728,0.08449014873761274,0.9749834145059301,0.14540922890493135
RNN,0.01795380520253198,0.08818238901905717,0.9787577459442134,0.13399181020693757
GRU,0.016368111803683184,0.07843894331405563,0.9806338775861106,0.127937921679552
LSTM,0.02059476381761995,0.0935940112753047,0.9756330649520967,0.1435087586791132
MA CNN,0.05374909948362317,0.1602152470085356,0.9364061259648816,0.23183852027569354
MA RNN,0.02580038790508019,0.11484630786503357,0.9694739700896239,0.16062499153332332
MA GRU,0.033220913251719886,0.14708430923521518,0.9606942889656194,0.18226605073825428
MA LSTM,0.03585238036710522,0.13579427846603925,0.9575808379520938,0.18934724811072703
AE CNN,0.020349531633887624,0.08455729819213353,0.9759232142709031,0.1426517845450509
AE RNN,0.014438653713777236,0.0796104614167578,0.9829167384322334,0.12016094920471142
AE GRU,0.017889912400635057,0.08589320774707532,0.9788333414580846,0.13375317716089982
AE LSTM,0.021131018502330932,0.09597820344070594,0.9749985889664917,0.1453651213404747
MA AE CNN,0.024490999207106647,0.09672653694533641,0.9710231886015974,0.15649600380554976
MA AE RNN,0.0998625156162201,0.23878191435916557,0.881846499756467,0.31601030935116675
MA AE GRU,0.06693874432994167,0.21144378514753448,0.9208006438082866,0.2587252294035927
MA AE LSTM,0.05014986664089034,0.17583522991173797,0.9406646002876663,0.2239416590116505
HY CNN LSTM,0.018143728948589843,0.08632287007239131,0.9785330354486123,0.13469865978765283
HY LSTM RNN GRU,0.018559076330390178,0.09047103072620104,0.9780416123488247,0.1362317009010391
HY CNN RNN GRU,0.019237759694454,0.08107509982875655,0.9772386202098187,0.1387002512414956
HY CNN GRU,0.020115583997856394,0.08974147186769796,0.9762000121454631,0.14182941866149065
HY RNN GRU,0.019720614022906684,0.08771719812932943,0.9766673254786337,0.1404301036918605
HY RNN LSTM,0.018649113019869178,0.08439869792718029,0.9779350843893934,0.13656175533387516
MA HY CNN LSTM,0.03122746572207353,0.12848620281451278,0.9630528596638052,0.17671294723950912
MA HY LSTM RNN GRU,0.021547102015914896,0.09981669110246004,0.9745062949037975,0.14678931165420353
MA HY CNN RNN GRU,0.05366714706480955,0.16368176319119007,0.9365030889251725,0.23166170824029067
MA HY CNN GRU,0.02298489978161316,0.10491148797277779,0.9728051477054589,0.15160771676142729
MA HY RNN GRU,0.026933983511480845,0.11908018088796075,0.9681327432245641,0.16411576253206406
MA HY RNN LSTM,0.0276353270437577,0.12586353565721464,0.9673029404432067,0.16623876516552238
