Model,MSE,MAE,R2,RMSE
cnn,570.8828172621343,23.600748258616825,-20.18455640103662,23.89315419240696
rnn,830.829541608024,28.30379977997035,-29.830767281196316,28.82411389111596
gru,936.7548925032598,30.120367475274495,-33.7614891429989,30.606451811721982
lstm,830.451364456612,28.31161022891737,-29.81673372658332,28.817553061573637
mvg_cnn,28.934729885778463,5.25052056299497,-0.07372195953232619,5.3791012154242335
mvg_rnn,879.7177503084158,29.147657613754273,-31.644931209839392,29.660036249276835
mvg_gru,912.5969069875732,29.709726546431245,-32.86502459507838,30.20921890727354
mvg_lstm,991.7221870780057,31.035708279348405,-35.80123831204143,31.491620902678314
auto_cnn,0.6637978898200325,0.5423832200977899,0.9753675125427281,0.8147379270784149
auto_rnn,896.0748056907275,29.430568989531633,-32.251915606327806,29.93450860947491
auto_gru,949.2022626068483,30.335796454703978,-34.223391316318235,30.809126287625364
auto_lstm,928.5768961292821,30.010871195335916,-33.45801666109294,30.47255972394315
mvg_auto_cnn,25.167781386660153,4.901438164906959,0.06606352800798199,5.016750082140843
mvg_auto_rnn,1032.961982574444,31.72022982708396,-37.331581750737634,32.13972592562737
mvg_auto_gru,1028.5219031369481,31.642503128182405,-37.16681744110258,32.07057690683079
mvg_auto_lstm,1069.4298264276433,32.28757728749759,-38.68484562831824,32.70213794888101
hybrid_cnn_lstm,714.266998469873,26.219107582667103,-25.505316077040394,26.725774048095836
hybrid_lstm_rnn_gru,541.6057526746414,22.68656176789166,-19.098130943383115,23.272424727016336
hybrid_cnn_rnn_gru,788.8650986220987,27.60291420322575,-28.273533322856288,28.086742399610866
hybrid_cnn_gru,692.0275007884302,25.78759290146501,-24.680043571515117,26.306415582295323
hybrid_rnn_gru,707.3731028744434,26.08533369403996,-25.249494539505523,26.59648666411493
hybrid_rnn_lstm,757.0752345084745,27.01916850155347,-27.09386185800796,27.515000172787108
mavg_hybrid_cnn_lstm,699.777007813542,25.940906917101717,-24.96761549291406,26.45329861876477
mavg_hybrid_lstm_rnn_gru,501.08167643998974,21.775008607106667,-17.59434671195355,22.38485372835815
mavg_hybrid_cnn_rnn_gru,686.3997353375893,25.679012266446467,-24.471206116611654,26.199231579143486
mavg_hybrid_cnn_gru,641.31859612066,24.78544149059139,-22.798316501639235,25.324268915817886
mavg_hybrid_rnn_gru,732.7773914578166,26.564987411760303,-26.192207418662935,27.06986131212749
mavg_hybrid_rnn_lstm,765.921928895417,27.181919157211095,-27.422148663173548,27.675294558421903
