Location,Sample No.,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Pb
Sarankhola Range,1,-5.91,0.06,-1.24,0.00,-1.29,-0.55,-3.74,0.00,0.00,0.22,0.00,-0.20,-1.89,-0.13,-0.34,-2.67,0.00
Sarankhola Range,2,-5.91,-0.05,-0.88,0.00,-0.99,-0.90,MDL,0.00,0.00,0.33,0.00,-0.04,-1.89,-0.05,-0.54,-2.90,0.00
Sarankhola Range,3,-2.67,0.05,-1.26,0.00,-1.63,-0.54,-3.51,0.00,0.00,-0.54,0.00,-0.81,-2.22,0.12,-0.43,-0.93,0.00
Sarankhola Range,4,-2.68,0.53,-0.49,0.00,-1.59,-0.74,-3.62,0.00,0.57,0.19,0.00,-0.97,-1.99,0.36,0.41,-0.45,0.00
Sarankhola Range,5,-2.63,0.21,-0.19,0.00,-0.84,-0.44,-3.36,0.00,0.24,-1.17,0.00,-0.57,-1.96,-0.11,-0.22,-0.17,0.00
Khulna Range,6,-2.72,0.71,-1.07,0.00,-1.28,-0.52,-3.85,0.00,0.00,-0.91,0.00,-0.84,-2.07,0.20,-0.09,-0.18,0.00
Khulna Range,7,-2.67,0.24,-1.07,0.00,-1.55,-0.57,3.40,0.00,0.00,-1.02,-1.85,-0.88,-2.29,0.36,0.36,-0.15,0.00
Khulna Range,8,-2.65,-0.03,-0.96,0.00,-1.09,-0.53,3.25,0.00,0.00,-0.15,0.00,0.07,-1.86,0.54,-0.14,-0.39,0.00
Khulna Range,9,-2.77,-0.28,-1.11,0.00,-1.48,-0.64,2.90,0.00,0.00,-0.60,0.00,-0.82,-1.99,0.07,0.15,-0.83,0.00
Khulna Range,10,-3.16,0.29,-1.28,0.00,-1.06,-0.54,2.83,0.00,0.00,-0.26,0.00,0.69,-2.03,-0.47,-0.15,0.03,0.00
Chandpai Range,11,-0.57,0.02,-0.78,0.00,-0.78,-0.37,2.46,0.00,0.00,-0.02,0.00,0.20,-2.11,-0.30,-0.49,-1.04,0.00
Chandpai Range,12,-2.18,-0.17,-0.86,0.00,-1.63,-0.39,0.00,0.00,0.00,-0.35,0.00,-0.56,-2.11,0.20,-0.27,-0.93,0.00
Chandpai Range,13,-2.40,0.05,-0.69,0.00,-1.63,-0.66,0.00,0.00,0.00,-1.00,0.00,-0.92,-2.09,0.25,0.31,-0.93,0.00
Chandpai Range,14,-2.77,-0.08,-1.19,0.00,-1.63,-0.65,-1.04,0.00,0.00,-0.61,0.65,-0.81,-2.15,-0.11,0.41,-0.36,0.00
Chandpai Range,15,-2.77,0.52,-1.07,0.00,-1.50,-0.73,-1.21,0.00,0.00,-0.74,0.32,-0.85,-2.00,0.53,0.35,-0.89,0.00
Satkhira Range,16,-2.34,0.69,0.25,0.00,-0.65,-0.54,-0.70,0.00,0.00,0.34,0.00,-0.26,-1.78,-0.30,0.18,-0.44,-3.25
Satkhira Range,17,-3.45,-0.15,-1.11,0.00,-0.95,-0.77,-0.70,0.00,0.00,-0.43,0.00,-0.84,-2.08,-0.06,0.59,-1.12,-2.63
Satkhira Range,18,-2.96,-0.36,-0.54,0.00,-2.15,-0.67,-0.28,0.00,0.00,-0.34,0.00,-0.68,-1.92,0.04,-0.12,-0.53,-3.08
Satkhira Range,19,-2.38,0.65,-0.17,0.00,-0.99,-0.88,1.24,0.00,0.00,0.90,0.00,0.37,-0.60,0.93,0.22,-0.25,0.00
Satkhira Range,20,-2.09,0.49,-0.37,0.00,-2.22,-0.55,1.32,0.00,0.00,0.65,0.00,0.31,-1.24,0.55,0.29,-0.04,0.00
