Sample No.,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Pb
1,660.75,34600,2929.6,0.00,522.5,48300,2.13,0.00,0.00,166.1,0.00,182.7,121.3,35.7,190.3,2.59,0.00
2,665.73,32100,3761.5,0.00,641.5,37900,0.00,0.00,0.00,179.5,0.00,203.8,121.2,37.8,164.7,2.21,0.00
3,6266.7,34200,2882.7,0.00,413.3,48600,2.5,0.00,0.00,97.9,0.00,119.5,96.2,42.5,178.5,8.64,0.00
4,6223.7,47800,4901.5,0.00,423.5,42500,2.31,0.00,100.1,162.5,0.00,106.9,113.04,50.12,319.6,12.05,0.00
5,6475.6,38300,6039.9,0.00,710.9,52300,2.78,0.00,79.5,63.5,0.00,141.1,115.5,36.2,206.07,14.67,0.00
6,6057.8,54200,3294.5,0.00,526.1,49500,1.98,0.00,0.00,76.1,0.00,117.4,107.5,44.7,225.2,14.62,0.00
7,6263.1,39100,3299.5,0.00,434.16,47800,301.5,0.00,0.00,70.3,5.39,114.1,91.7,50.2,308.5,14.93,0.00
8,6353.5,32500,3539,0.00,600,48900,270.5,0.00,0.00,128.5,0.00,221.1,123.7,56.8,218.6,12.6,0.00
9,5848.3,27400,3191.5,0.00,458.4,45300,212.3,0.00,0.00,94.1,0.00,119.1,113.5,40.8,265.6,9.3,0.00
10,4456.3,40600,2848.5,0.00,611.7,48700,202.7,0.00,0.00,119.4,0.00,339.5,110.5,28.2,215.6,16.85,0.00
11,26800,33500,4015,0.00,744.5,54800,157.3,0.00,0.00,140.9,0.00,240.6,104.5,31.8,170.7,8.02,0.00
12,8799,29500,3811.5,0.00,413.5,54100,0.00,0.00,0.00,111.8,0.00,142.5,104.2,44.9,199.7,8.64,0.00
13,7590,34200,4289.7,0.00,413.3,44900,0.00,0.00,0.00,71.14,0.00,111.06,105.5,46.3,296.7,8.64,0.00
14,5849.2,31400,3019.9,0.00,413.3,45000,13.85,0.00,0.00,93.16,30.61,119.7,101.2,36.2,319.4,12.9,0.00
15,5848.9,47500,3295,0.00,450.7,42700,12.32,0.00,0.00,85.5,24.31,116.45,112.5,56.2,305.9,8.89,0.00
16,7895,53300,8221,0.00,812.2,48700,17.58,0.00,0.00,179.9,0.00,175.8,131.5,31.6,271.7,12.19,3.16
17,3639.2,29900,3191.5,0.00,661.3,41600,17.5,0.00,0.00,106,0.00,117.07,106.1,37.5,360.9,7.57,4.83
18,5128,25900,4750.2,0.00,286.5,44600,23.5,0.00,0.00,112.6,0.00,130.9,119,40.1,221.1,11.42,3.56
19,7650,52100,6157,0.00,642.5,38500,67.2,0.00,0.00,266.2,0.00,271.5,296.3,74.3,278.8,13.87,0.00
20,9353,46600,5346.5,0.00,274.1,48300,71.3,0.00,0.00,224.1,0.00,260.1,190.2,57.2,294.2,16.1,0.00
