,Factor 1 W,Factor 1 S,Factor 2 W,Factor 2 S,Factor 3 W,Factor 3 S,Factor 4 W,Factor 4 S
0,0.9657063777511492,0.8734471746019026,0.16586131782105282,0.2857253636060698,0.08493572240791104,0.2676864333697844,-0.006727199894669682,0.16726258347364736
1,0.9611178655478323,0.33796665367290485,0.056432093058920725,-0.03872862828807593,0.07827613109268311,0.8147268364083357,-0.20797863511901155,-0.024851472159875525
2,0.1458877986464703,0.11415667094676862,0.9225412908566268,0.8868864108046536,0.01926845913447838,0.1130750595717623,0.14157035046480088,0.0696765829091625
3,0.03468392044926472,0.089335990597742,0.9488156207731949,0.9881295356718709,-0.21638981165731652,-0.11831209300921806,-0.12814924731748265,-0.053600082412946885
4,0.9752590219537753,0.8332533830064734,0.0310728972542322,0.18390823484794178,0.16498815212047638,0.3782840454164389,0.031045230415350233,0.1811775399977521
5,0.8815090011567113,0.9227828936462852,0.029249994817391597,0.02955948864551915,0.31885304319990393,0.3617709313155546,0.2550117657745785,-0.11646894224893198
6,0.9338848832530897,0.9676372287587268,0.027810564819831473,0.11016438318213065,0.2702698133610351,0.16162441366871874,0.19437391339145432,0.08226014742750676
7,0.24976487584526666,0.9555221762833848,-0.18320474272981038,0.12564377834609297,0.9475436429340142,0.1284725065798572,0.03747210636185542,-0.21652588256803942
8,0.9714486250119659,0.7370311401323922,0.08848763384798251,0.15026214415642805,0.02418972032254299,0.6137474190105221,0.011975443003954839,0.2575787686561657
9,0.8586291171880379,0.8557044513594901,0.12491624067670423,-0.07964689584156956,0.2531000139822822,0.44467160445623294,0.42729478610111354,0.07997768172545501
