"","RC1","RC2","RC3","RC5","RC4"
"Temperature",0.89810205618761,0.256256170641998,0.159160487821868,-0.207871709825164,0.124841951549178
"pH",-0.917683649892519,-0.102306872552648,-0.268711067712646,0.262775821294534,-0.00963918982833469
"EC",0.103206685502853,0.928414714455492,-0.0937914363173545,0.291617202854299,0.010482913088766
"TSS",0.843356932462114,0.23636631916106,0.433620388365974,0.131537035117341,-0.062365964922107
"Turbidity",0.697677581244458,0.343454290711367,0.403719156830385,0.07239693043697,-0.369017296829669
"Salinity",0.0676341994926089,0.932038620143887,0.15934124077267,0.0519537929123374,0.253617657117571
"TDS",0.138682832096118,0.41131810877399,0.623535575294,-0.276331411047312,0.510153086836392
"DO",-0.925695981856326,-0.185126699769085,-0.0850768209110929,0.300822979436221,0.0858011382111607
"COD",0.80162196030784,0.257388449669257,0.287897200783798,-0.272668011670524,-0.211471264484727
"NH4.",0.767322588165576,0.360961394865301,0.263062879977376,-0.405434054663751,-0.112317153446075
"NO3",0.871052568706309,-0.257999623795786,0.0506296252693023,0.0942740379725304,0.222860237744831
"Phosphate",0.356298873877064,0.838132431980091,0.0767665444083975,-0.0895758880119864,-0.254440802490622
"Sulfates",0.271256172433013,0.0121248240759141,-0.0137502077507646,0.0653575823809365,-0.843948785908217
"K",-0.237416165402635,0.158037682139968,-0.275722236147164,0.809044687538075,-0.098114097270458
"Ca",-0.117121068210101,0.304799999051397,0.0899899436903665,0.853166266784688,0.282343180402785
"Mg",-0.444354869170486,0.0853812620658925,0.166257618887797,0.820706208427849,0.144868054245877
"Cl",0.411582616894173,0.811435201184629,-0.188170093286899,-0.0143735261416133,-0.277917594649771
"Br",-0.183747987206727,-0.781220467941427,-0.346052439781544,-0.321497258134663,0.192195030570616
"Cd",0.392816313655458,-0.558890380448261,0.58732847456426,-0.149365677140387,-0.0545730348898608
"Cr",0.537420401367021,-0.0443914229660236,0.783617492209371,-0.237721274754775,-0.0844189368332917
"Ni",-0.466122911301277,0.514154255863105,0.468971359261985,0.299426934011918,0.39575326015896
"Cu",0.127251074614866,-0.0746378976699521,-0.031478558496214,0.337934438800717,0.853825580935414
"Zn",0.0719794072170447,-0.0975947991722359,0.160049016767407,0.0868208345301991,0.872531567475283
"Mn",0.079216520337547,-0.1968653352614,0.947815459026361,0.105060131766163,0.169121084883429
"Hg",0.387924289597756,0.346011774816466,0.651526993061546,-0.413671495209766,-0.295782189033772
"As",0.193850459325467,0.098120870651096,0.602939184873345,0.363231021820373,0.148900673940817
"Pb",0.279388277395664,0.195962750223112,0.934333077101268,-0.0786393039362806,0.0360117829049385
