ModelCat,Model,MSE,RMSE
General,CNN,0.027758786491952347,0.16660968306779875
General,RNN,0.03255939643099441,0.18044222463435328
General,GRU,0.02046200214238028,0.14304545481202918
General,LSTM,0.02265138454079001,0.15050376919130634
MA,CNN,0.03219192743495328,0.1794210897162128
MA,RNN,0.06014932101736947,0.24525358512643494
MA,GRU,0.023905820216094914,0.15461507111564163
MA,LSTM,0.037652694185306465,0.1940430214805636
AE,CNN,0.02249307086275021,0.14997690109730302
AE,RNN,0.0231502856777948,0.15215217933961642
AE,GRU,0.019862486107036774,0.14093433260578053
AE,LSTM,0.02482191988670961,0.15754973781860004
MA AE,CNN,0.02669014288595343,0.16337118132018702
MA AE,RNN,0.03270947083451528,0.1808575982216818
MA AE,GRU,0.0226324272036022,0.15044077639922696
MA AE,LSTM,0.02446556409779581,0.1564147182901782
HY,LSTM,0.028338795493938067,0.16834130655884214
HY,LSTM RNN GRU,0.02027213902515949,0.14238026206310864
HY,CNN RNN GRU,0.033725136585273735,0.18364404859748037
HY,CNN GRU,0.02169571187787073,0.1472946430725528
HY,RNN GRU,0.026281166929497547,0.16211467215985587
HY,RNN LSTM,0.02779882972275309,0.16672981054014632
MA HY,CNN LSTM,0.03983777479236557,0.1995940249415437
MA HY,LSTM RNN GRU,0.04787425826348837,0.21880186988115155
MA HY,CNN RNN GRU,0.037384575454230434,0.1933509127318266
MA HY,CNN GRU,0.039150806019005294,0.19786562616838047
MA HY,RNN GRU,0.052295691930612835,0.22868251339053636
MA HY,RNN LSTM,0.05151548399271619,0.22697022710636783
