Species,Sample,Values,Metals
Clupisoma garua,Body,7.1,Cr
Anabas testudineus,Body,9.54,Cr
Cirrhinus reba,Body,13.45,Cr
Mystus vittatus,Body,19.18,Cr
Neotropius atherinoides,Body,3.36,Cr
Tenualosa ilisha,Body,10.27,Cr
Botia dario,Body,10.46,Cr
Pseudambassis ranga,Body,19.55,Cr
Clupisoma garua,Body,38.6,Mn
Anabas testudineus,Body,15.8,Mn
Cirrhinus reba,Body,14.4,Mn
Mystus vittatus,Body,20.8,Mn
Neotropius atherinoides,Body,13.8,Mn
Tenualosa ilisha,Body,24.6,Mn
Botia dario,Body,39.0,Mn
Pseudambassis ranga,Body,41.6,Mn
Clupisoma garua,Body,2221.0,Fe
Anabas testudineus,Body,1915.71,Fe
Cirrhinus reba,Body,1826.42,Fe
Mystus vittatus,Body,2001.71,Fe
Neotropius atherinoides,Body,2050.28,Fe
Tenualosa ilisha,Body,1779.71,Fe
Botia dario,Body,2347.28,Fe
Pseudambassis ranga,Body,2617.86,Fe
Clupisoma garua,Body,324.0,Cu
Anabas testudineus,Body,298.0,Cu
Cirrhinus reba,Body,268.33,Cu
Mystus vittatus,Body,317.66,Cu
Neotropius atherinoides,Body,246.55,Cu
Tenualosa ilisha,Body,432.22,Cu
Botia dario,Body,216.43,Cu
Pseudambassis ranga,Body,343.89,Cu
Clupisoma garua,Body,1094.23,Zn
Anabas testudineus,Body,1619.0,Zn
Cirrhinus reba,Body,1502.61,Zn
Mystus vittatus,Body,1086.69,Zn
Neotropius atherinoides,Body,1454.71,Zn
Tenualosa ilisha,Body,1788.78,Zn
Botia dario,Body,1553.1,Zn
Pseudambassis ranga,Body,1679.32,Zn
Clupisoma garua,Body,40.5,As
Anabas testudineus,Body,41.16,As
Cirrhinus reba,Body,42.67,As
Mystus vittatus,Body,43.51,As
Neotropius atherinoides,Body,40.33,As
Tenualosa ilisha,Body,41.84,As
Botia dario,Body,25.39,As
Pseudambassis ranga,Body,42.82,As
Clupisoma garua,Body,7.1,Cd
Anabas testudineus,Body,10.77,Cd
Cirrhinus reba,Body,25.25,Cd
Mystus vittatus,Body,37.28,Cd
Neotropius atherinoides,Body,9.33,Cd
Tenualosa ilisha,Body,21.72,Cd
Botia dario,Body,24.44,Cd
Pseudambassis ranga,Body,32.18,Cd
Clupisoma garua,Body,13.69,Pb
Anabas testudineus,Body,16.77,Pb
Cirrhinus reba,Body,12.54,Pb
Mystus vittatus,Body,15.16,Pb
Neotropius atherinoides,Body,12.15,Pb
Tenualosa ilisha,Body,11.23,Pb
Botia dario,Body,12.38,Pb
Pseudambassis ranga,Body,21.34,Pb
