,Values,Metals,Param,Age,*
0,,Cr,EDI,Child,EDI Child
1,6.93,Cr,EDI,Child,EDI Child
2,2.415,Cr,EDI,Child,EDI Child
3,3.955,Cr,EDI,Child,EDI Child
4,3.325,Cr,EDI,Child,EDI Child
5,3.57,Cr,EDI,Child,EDI Child
6,4.76,Cr,EDI,Child,EDI Child
7,8.295,Cr,EDI,Child,EDI Child
8,,Cr,EDI,Adult,EDI Adult
9,1.569,Cr,EDI,Adult,EDI Adult
10,0.547,Cr,EDI,Adult,EDI Adult
11,0.895,Cr,EDI,Adult,EDI Adult
12,0.753,Cr,EDI,Adult,EDI Adult
13,0.808,Cr,EDI,Adult,EDI Adult
14,1.078,Cr,EDI,Adult,EDI Adult
15,1.879,Cr,EDI,Adult,EDI Adult
16,1.225,Mn,EDI,Child,EDI Child
17,6.23,Mn,EDI,Child,EDI Child
18,5.705,Mn,EDI,Child,EDI Child
19,3.255,Mn,EDI,Child,EDI Child
20,1.715,Mn,EDI,Child,EDI Child
21,5.775,Mn,EDI,Child,EDI Child
22,1.47,Mn,EDI,Child,EDI Child
23,2.59,Mn,EDI,Child,EDI Child
24,0.277,Mn,EDI,Adult,EDI Adult
25,1.411,Mn,EDI,Adult,EDI Adult
26,1.292,Mn,EDI,Adult,EDI Adult
27,0.737,Mn,EDI,Adult,EDI Adult
28,0.388,Mn,EDI,Adult,EDI Adult
29,1.308,Mn,EDI,Adult,EDI Adult
30,0.333,Mn,EDI,Adult,EDI Adult
31,0.586,Mn,EDI,Adult,EDI Adult
32,152.32,Fe,EDI,Child,EDI Child
33,466.0,Fe,EDI,Child,EDI Child
34,369.15,Fe,EDI,Child,EDI Child
35,33.03,Fe,EDI,Child,EDI Child
36,293.965,Fe,EDI,Child,EDI Child
37,400.085,Fe,EDI,Child,EDI Child
38,272.475,Fe,EDI,Child,EDI Child
39,315.42,Fe,EDI,Child,EDI Child
40,34.505,Fe,EDI,Adult,EDI Adult
41,105.65,Fe,EDI,Adult,EDI Adult
42,83.622,Fe,EDI,Adult,EDI Adult
43,74.988,Fe,EDI,Adult,EDI Adult
44,66.592,Fe,EDI,Adult,EDI Adult
45,90.632,Fe,EDI,Adult,EDI Adult
46,61.723,Fe,EDI,Adult,EDI Adult
47,71.452,Fe,EDI,Adult,EDI Adult
48,12.215,Co,EDI,Child,EDI Child
49,16.695,Co,EDI,Child,EDI Child
50,4.445,Co,EDI,Child,EDI Child
51,10.675,Co,EDI,Child,EDI Child
52,9.38,Co,EDI,Child,EDI Child
53,12.32,Co,EDI,Child,EDI Child
54,12.635,Co,EDI,Child,EDI Child
55,17.955,Co,EDI,Child,EDI Child
56,2.767,Co,EDI,Adult,EDI Adult
57,3.781,Co,EDI,Adult,EDI Adult
58,1.006,Co,EDI,Adult,EDI Adult
59,2.418,Co,EDI,Adult,EDI Adult
60,2.124,Co,EDI,Adult,EDI Adult
61,2.791,Co,EDI,Adult,EDI Adult
62,2.862,Co,EDI,Adult,EDI Adult
63,4.067,Co,EDI,Adult,EDI Adult
64,53.165,Cu,EDI,Child,EDI Child
65,83.825,Cu,EDI,Child,EDI Child
66,77.56,Cu,EDI,Child,EDI Child
67,101.15,Cu,EDI,Child,EDI Child
68,69.37,Cu,EDI,Child,EDI Child
69,40.18,Cu,EDI,Child,EDI Child
70,60.025,Cu,EDI,Child,EDI Child
71,75.565,Cu,EDI,Child,EDI Child
72,12.043,Cu,EDI,Adult,EDI Adult
73,18.988,Cu,EDI,Adult,EDI Adult
74,17.569,Cu,EDI,Adult,EDI Adult
75,22.91,Cu,EDI,Adult,EDI Adult
76,15.714,Cu,EDI,Adult,EDI Adult
77,9.102,Cu,EDI,Adult,EDI Adult
78,13.597,Cu,EDI,Adult,EDI Adult
79,17.117,Cu,EDI,Adult,EDI Adult
80,451.89,Zn,EDI,Child,EDI Child
81,554.085,Zn,EDI,Child,EDI Child
82,287.88,Zn,EDI,Child,EDI Child
83,603.855,Zn,EDI,Child,EDI Child
84,523.145,Zn,EDI,Child,EDI Child
85,566.615,Zn,EDI,Child,EDI Child
86,473.69,Zn,EDI,Child,EDI Child
87,284.445,Zn,EDI,Child,EDI Child
88,102.366,Zn,EDI,Adult,EDI Adult
89,125.52,Zn,EDI,Adult,EDI Adult
90,65.212,Zn,EDI,Adult,EDI Adult
91,136.791,Zn,EDI,Adult,EDI Adult
92,118.51,Zn,EDI,Adult,EDI Adult
93,128.356,Zn,EDI,Adult,EDI Adult
94,107.305,Zn,EDI,Adult,EDI Adult
95,64.435,Zn,EDI,Adult,EDI Adult
96,1.47,As,EDI,Child,EDI Child
97,1.995,As,EDI,Child,EDI Child
98,1.505,As,EDI,Child,EDI Child
99,1.785,As,EDI,Child,EDI Child
100,1.645,As,EDI,Child,EDI Child
101,1.82,As,EDI,Child,EDI Child
102,1.96,As,EDI,Child,EDI Child
103,2.135,As,EDI,Child,EDI Child
104,0.333,As,EDI,Adult,EDI Adult
105,0.451,As,EDI,Adult,EDI Adult
106,0.341,As,EDI,Adult,EDI Adult
107,0.404,As,EDI,Adult,EDI Adult
108,0.372,As,EDI,Adult,EDI Adult
109,0.412,As,EDI,Adult,EDI Adult
110,0.444,As,EDI,Adult,EDI Adult
111,0.483,As,EDI,Adult,EDI Adult
112,11.235,Se,EDI,Child,EDI Child
113,17.9,Se,EDI,Child,EDI Child
114,9.765,Se,EDI,Child,EDI Child
115,15.365,Se,EDI,Child,EDI Child
116,13.965,Se,EDI,Child,EDI Child
117,14.525,Se,EDI,Child,EDI Child
118,16.695,Se,EDI,Child,EDI Child
119,18.795,Se,EDI,Child,EDI Child
120,2.545,Se,EDI,Adult,EDI Adult
121,4.043,Se,EDI,Adult,EDI Adult
122,2.212,Se,EDI,Adult,EDI Adult
123,3.481,Se,EDI,Adult,EDI Adult
124,3.163,Se,EDI,Adult,EDI Adult
125,3.29,Se,EDI,Adult,EDI Adult
126,3.782,Se,EDI,Adult,EDI Adult
127,4.257,Se,EDI,Adult,EDI Adult
128,2.52,Cd,EDI,Child,EDI Child
129,9.77,Cd,EDI,Child,EDI Child
130,1.855,Cd,EDI,Child,EDI Child
131,6.16,Cd,EDI,Child,EDI Child
132,3.045,Cd,EDI,Child,EDI Child
133,7.385,Cd,EDI,Child,EDI Child
134,7.595,Cd,EDI,Child,EDI Child
135,11.025,Cd,EDI,Child,EDI Child
136,0.57,Cd,EDI,Adult,EDI Adult
137,2.212,Cd,EDI,Adult,EDI Adult
138,0.42,Cd,EDI,Adult,EDI Adult
139,1.395,Cd,EDI,Adult,EDI Adult
140,0.689,Cd,EDI,Adult,EDI Adult
141,1.673,Cd,EDI,Adult,EDI Adult
142,1.72,Cd,EDI,Adult,EDI Adult
143,2.497,Cd,EDI,Adult,EDI Adult
144,2.415,Hg,EDI,Child,EDI Child
145,5.25,Hg,EDI,Child,EDI Child
146,1.925,Hg,EDI,Child,EDI Child
147,5.985,Hg,EDI,Child,EDI Child
148,2.66,Hg,EDI,Child,EDI Child
149,3.255,Hg,EDI,Child,EDI Child
150,3.43,Hg,EDI,Child,EDI Child
151,4.34,Hg,EDI,Child,EDI Child
152,0.547,Hg,EDI,Adult,EDI Adult
153,1.189,Hg,EDI,Adult,EDI Adult
154,0.436,Hg,EDI,Adult,EDI Adult
155,1.355,Hg,EDI,Adult,EDI Adult
156,0.602,Hg,EDI,Adult,EDI Adult
157,0.737,Hg,EDI,Adult,EDI Adult
158,0.777,Hg,EDI,Adult,EDI Adult
159,0.983,Hg,EDI,Adult,EDI Adult
160,2.03,Pb,EDI,Child,EDI Child
161,2.73,Pb,EDI,Child,EDI Child
162,2.73,Pb,EDI,Child,EDI Child
163,1.61,Pb,EDI,Child,EDI Child
164,4.13,Pb,EDI,Child,EDI Child
165,2.135,Pb,EDI,Child,EDI Child
166,2.205,Pb,EDI,Child,EDI Child
167,3.395,Pb,EDI,Child,EDI Child
168,0.459,Pb,EDI,Adult,EDI Adult
169,0.618,Pb,EDI,Adult,EDI Adult
170,0.618,Pb,EDI,Adult,EDI Adult
171,0.364,Pb,EDI,Adult,EDI Adult
172,0.935,Pb,EDI,Adult,EDI Adult
173,0.483,Pb,EDI,Adult,EDI Adult
174,0.499,Pb,EDI,Adult,EDI Adult
175,0.769,Pb,EDI,Adult,EDI Adult
176,,Cr,THQ,Child,THQ Child
177,0.05,Cr,THQ,Child,THQ Child
178,0.017,Cr,THQ,Child,THQ Child
179,0.028,Cr,THQ,Child,THQ Child
180,0.024,Cr,THQ,Child,THQ Child
181,0.026,Cr,THQ,Child,THQ Child
182,0.034,Cr,THQ,Child,THQ Child
183,0.059,Cr,THQ,Child,THQ Child
184,,Cr,THQ,Adult,THQ Adult
185,0.011,Cr,THQ,Adult,THQ Adult
186,0.004,Cr,THQ,Adult,THQ Adult
187,0.006,Cr,THQ,Adult,THQ Adult
188,0.005,Cr,THQ,Adult,THQ Adult
189,0.006,Cr,THQ,Adult,THQ Adult
190,0.008,Cr,THQ,Adult,THQ Adult
191,0.013,Cr,THQ,Adult,THQ Adult
192,0.009,Mn,THQ,Child,THQ Child
193,0.045,Mn,THQ,Child,THQ Child
194,0.041,Mn,THQ,Child,THQ Child
195,0.023,Mn,THQ,Child,THQ Child
196,0.012,Mn,THQ,Child,THQ Child
197,0.041,Mn,THQ,Child,THQ Child
