Species,Sample,Values,Metals
Clupisoma garua,Head,6.27,Cr
Anabas testudineus,Head,8.63,Cr
Cirrhinus reba,Head,12.36,Cr
Mystus vittatus,Head,21.54,Cr
Neotropius atherinoides,Head,2.45,Cr
Tenualosa ilisha,Head,11.18,Cr
Botia dario,Head,9.27,Cr
Pseudambassis ranga,Head,18.0,Cr
Clupisoma garua,Head,32.6,Mn
Anabas testudineus,Head,9.8,Mn
Cirrhinus reba,Head,8.4,Mn
Mystus vittatus,Head,14.8,Mn
Neotropius atherinoides,Head,7.0,Mn
Tenualosa ilisha,Head,18.6,Mn
Botia dario,Head,33.0,Mn
Pseudambassis ranga,Head,35.6,Mn
Clupisoma garua,Head,1757.83,Fe
Anabas testudineus,Head,1399.83,Fe
Cirrhinus reba,Head,1297.5,Fe
Mystus vittatus,Head,1502.1,Fe
Neotropius atherinoides,Head,725.33,Fe
Tenualosa ilisha,Head,1576.33,Fe
Botia dario,Head,1905.17,Fe
Pseudambassis ranga,Head,2220.85,Fe
Clupisoma garua,Head,246.22,Cu
Anabas testudineus,Head,220.22,Cu
Cirrhinus reba,Head,190.56,Cu
Mystus vittatus,Head,239.89,Cu
Neotropius atherinoides,Head,168.78,Cu
Tenualosa ilisha,Head,321.14,Cu
Botia dario,Head,127.56,Cu
Pseudambassis ranga,Head,266.11,Cu
Clupisoma garua,Head,685.47,Zn
Anabas testudineus,Head,1245.58,Zn
Cirrhinus reba,Head,1127.83,Zn
Mystus vittatus,Head,677.25,Zn
Neotropius atherinoides,Head,1075.97,Zn
Tenualosa ilisha,Head,1437.75,Zn
Botia dario,Head,1349.08,Zn
Pseudambassis ranga,Head,1319.25,Zn
Clupisoma garua,Head,7.17,As
Anabas testudineus,Head,7.83,As
Cirrhinus reba,Head,9.33,As
Mystus vittatus,Head,10.16,As
Neotropius atherinoides,Head,7.1,As
Tenualosa ilisha,Head,8.53,As
Botia dario,Head,8.67,As
Pseudambassis ranga,Head,9.51,As
Clupisoma garua,Head,5.89,Cd
Anabas testudineus,Head,9.67,Cd
Cirrhinus reba,Head,24.11,Cd
Mystus vittatus,Head,35.0,Cd
Neotropius atherinoides,Head,8.0,Cd
Tenualosa ilisha,Head,19.56,Cd
Botia dario,Head,23.44,Cd
Pseudambassis ranga,Head,31.0,Cd
Clupisoma garua,Head,6.0,Pb
Anabas testudineus,Head,9.07,Pb
Cirrhinus reba,Head,4.84,Pb
Mystus vittatus,Head,7.46,Pb
Neotropius atherinoides,Head,4.46,Pb
Tenualosa ilisha,Head,3.53,Pb
Botia dario,Head,4.69,Pb
Pseudambassis ranga,Head,6.1,Pb
