,Hg,Fish
0,0.55,Ghagra (Clupisoma garua)
1,0.76,Koi (Anabas testudineus)
2,0.98,Tatkini (Cirrhinus reba)
3,1.24,Tengra (Mystus vittatus)
4,0.69,Batashi (Neotropius atherinoides)
5,1.71,Jatka (juvenile) Tenualosa ilisha
6,0.93,Rani (Botia dario)
7,1.5,Chanda (Pseudambassis ranga)
