,Cu,Fish
0,22.16,Ghagra (Clupisoma garua)
1,19.82,Koi (Anabas testudineus)
2,17.15,Tatkini (Cirrhinus reba)
3,21.59,Tengra (Mystus vittatus)
4,15.19,Batashi (Neotropius atherinoides)
5,28.9,Jatka (juvenile) Tenualosa ilisha
6,11.48,Rani (Botia dario)
7,23.95,Chanda (Pseudambassis ranga)
