Local Name,English Name,Scientific Name
সুন্দরী / অলুয়া ,Goldspotted Grenadier Anchovy caffalat,Engraulidae Coilia
চেলা,Silver hatchet chela,Chela cachius
পুটি,Puti Fish/Swamp barb,Puntius sarana
ছুরি ,Ribbon fish,Trichiurus lepturus
টাকি ,Spotted Snakehead,Channa punctata
চাপিলা ,Ganges River Gizzard Shad,Gonialosa manmina
লইট্যা,Bombay duck,Harpadon nehereus
ভেটকি,Barramundi,Lates calcarifer
ফাইসা ,Gangetic hairfin anchovy,Setipinna
বাতাসা,Indian potasi,Pachypterus atherinoides
টেংরা,Batasio,Batasio tengana
