Model,MSE,RMSE
cnn,2.096876607787388,1.448059600909917
rnn,834.1430753179983,28.881535196696145
gru,976.3254943089121,31.246207678835397
lstm,1077.8894264944852,32.83122639339696
mvg_cnn,1.9297830360365986,1.3891663097111875
mvg_rnn,753.7916840635512,27.45526696398254
mvg_gru,923.4146390322459,30.387738300706847
mvg_lstm,942.3357893624618,30.697488323354108
auto_cnn,0.8702404395384747,0.9328667855264624
auto_rnn,823.7404433377096,28.700878790338628
auto_gru,877.6937622978965,29.625896818457605
auto_lstm,835.5566948946741,28.905997559238017
mvg_auto_cnn,5.239470300027551,2.288988925274116
mvg_auto_rnn,1042.3108596036545,32.28483946999976
mvg_auto_gru,1023.6299935301683,31.994218126564185
mvg_auto_lstm,1048.7718372515642,32.384746984522884
hybrid_cnn_lstm,743.1264475982505,27.260345698436225
hybrid_lstm_rnn_gru,478.5342959645326,21.87542676074075
hybrid_cnn_rnn_gru,513.4488999013358,22.659410846298186
hybrid_cnn_gru,692.5278845105026,26.315924542195027
hybrid_rnn_gru,739.8102601166889,27.199453305474524
hybrid_rnn_lstm,805.6874696008762,28.384634392587763
mavg_hybrid_cnn_lstm,774.2370288234566,27.825115072959836
mavg_hybrid_lstm_rnn_gru,507.4797317850258,22.527310797896536
mavg_hybrid_cnn_rnn_gru,659.8026427325179,25.68662380953398
mavg_hybrid_cnn_gru,670.060507819718,25.885526995209467
mavg_hybrid_rnn_gru,669.1119073748995,25.86719751683393
mavg_hybrid_rnn_lstm,768.4821920317427,27.721511359082548
