Element,PC1,PC2,PC3
Cr,0.94,0.03,0.2
Mn,0.08,0.66,0.71
Fe,0.4,0.68,0.6
Co,0.88,-0.36,0.02
Cu,0.29,0.65,-0.37
Zn,0.11,0.35,-0.33
As,0.96,-0.03,0.09
Se,0.98,-0.06,-0.06
Pb,0.08,-0.3,0.36
Cd,0.97,-0.02,0.14
Hg,0.77,0.48,-0.36
Protein,0.57,0.37,-0.61
O3PFA,-0.8,0.54,0.08
Lipid,-0.89	0.31,-0.15
