"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8"
"Cr",-55.4356636707306,-1.54813026618466,-1.8454496836307,-1.12989002472885,-0.127578298761885,-0.292412967460792,-0.228397391711541,-0.039019419926844
"Mn",-55.9469012914047,-1.42801714303346,-2.62096821315235,-0.132887922645513,1.4468238058383,0.313311368333445,0.390990070575924,0.0969289720554492
"Fe",206.414567770534,57.8490492208167,-2.04115757343255,0.0470600675230646,0.0877666837391562,0.000555626522030421,-0.00759501061352378,-0.000389155371475919
"Co",-49.2358452562548,-2.15522653338435,-1.68354856242851,-1.47430989509264,-2.06564008583422,0.879373481647329,-0.0959717482115756,-0.060119321622037
"Cu",-2.9840606192379,3.33748789693626,13.6908174225834,-2.64776472973847,1.53326677284129,0.0570064162216236,-0.0249174945760476,-0.0120203275211619
"Zn",328.925672609202,-39.5880020464588,-1.13193210973176,-0.343371027239937,0.142992796339529,-0.0038326046263504,-0.00188801764059284,0.00116444624242566
"As",-57.4228050298641,-2.50812335778017,-2.0775375868241,-0.219761310860255,0.769136626574664,-0.0636816960877691,0.00365930506630447,0.0944626011414204
"Se",-47.0144479225468,-1.75818051617298,-1.10990322149031,-0.853153274062152,-1.3511703047548,-0.327141761484084,-0.267882205082818,0.0213945779023025
"Pb",-56.8043957598174,-2.33078031781266,-1.90133344986278,0.0145142310508162,0.706809835043921,0.0143771518968471,-0.567067141057881,0.0177814138871729
"Cd",-53.8417081113742,-1.57805771722642,-2.28120445036295,-1.55133986566676,-0.840594804030581,-0.331045439447124,0.331565793581801,-0.125991046066507
"Hg",-55.832035773296,-2.49603621058032,-1.80591136445987,-0.928834995607769,0.795170597895737,-0.135588890638752,0.274317308712173,-0.082558897340332
"Protein",-12.8262414599275,-0.529430472638533,5.10081857566968,2.66882849199163,-3.85850645226886,-0.152408471827401,0.173361949609112,0.0848667332473138
"O3PFA",-57.9236398725615,-2.51978132348813,-2.016356982636,0.121676865558427,1.25386354063293,-0.0577902794014715,0.0720307442159725,0.100455416540554
"Lipid",-30.0724956127207,-2.7467712129925,1.7236671997588,6.42923338951841,1.50765928674481,0.0992780663524512,-0.0522061628673113,-0.0969559931682589
