Location,BulkDensity,OrganicCarbon,SOCD,SOC,Depth
Karamjol,1.59,1.495,0.0237705,47.541,0-20 cm
Karamjol,1.52,2.374,0.0360848,72.1696,20-40 cm
Karamjol,1.39,3.852,0.0535428,107.0856,40-60 cm
Karamjol,1.39,7.472,0.1038608,207.7216,60-80 cm
Karamjol,1.46,9.435,0.137751,275.502,80-100 cm
Harbaria,1.52,1.389,0.0211128,42.2256,0-20 cm
Harbaria,1.48,2.071,0.0306508,61.3016,20-40 cm
Harbaria,1.4,3.745,0.05243,104.86,40-60 cm
Harbaria,1.49,7.338,0.1093362,218.6724,60-80 cm
Harbaria,1.37,9.127,0.1250399,250.0798,80-100 cm
Katka,1.58,1.281,0.0202398,40.4796,0-20 cm
Katka,1.44,2.169,0.0312336,62.4672,20-40 cm
Katka,1.58,3.418,0.0540044,108.0088,40-60 cm
Katka,1.24,7.526,0.0933224,186.6448,60-80 cm
Katka,1.26,8.92,0.112392,224.784,80-100 cm
Hiron Point,1.55,1.013,0.0157015,31.403,0-20 cm
Hiron Point,1.49,1.896,0.0282504,56.5008,20-40 cm
Hiron Point,1.52,3.205,0.048716,97.432,40-60 cm
Hiron Point,1.51,6.878,0.1038578,207.7156,60-80 cm
Hiron Point,1.31,8.714,0.1141534,228.3068,80-100 cm
Munshiganj,1.41,1.25,0.017625,35.25,0-20 cm
Munshiganj,1.38,2.87,0.039606,79.212,20-40 cm
Munshiganj,1.33,3.34,0.044422,88.844,40-60 cm
Munshiganj,1.31,5.59,0.073229,146.458,60-80 cm
Munshiganj,1.24,8.13,0.100812,201.624,80-100 cm
