"","RC1","RC2","RC3"
"BulkDensity",-0.352420454654215,0.624584532579397,0.248572606866177
"Sand",-0.302868116581056,0.478481980470996,0.643151149673407
"Silt",-0.947833223552237,-0.181915406940037,-0.172149392453883
"Clay",0.98468854586856,0.0168083451424162,-0.0453174026288561
"Moisture",-0.118952071647166,-0.859453355970236,0.281785797908755
"pH",-0.420862714942548,-0.690241129244401,-0.020873913077595
"EC",0.00342467106302435,-0.0993669022359946,0.940984844373287
"OrganicCarbon",0.816763138778502,0.191436690051583,-0.197620742813467
"Nitrogen",0.437259101106776,0.770441075007184,0.214976006837183
"CEC",0.869393924746177,0.0368625959421283,-0.261481330992656
