Location,Carbon,Nitrogen,depth
Harbaria1,0.89,0.14,0-20 cm
Harbaria2,0.71,0.13,20-40 cm
Harbaria3,0.47,0.09,40-60 cm
Harbaria4,0.37,0.08,60-80 cm
Harbaria5,0.28,0.06,80-100 cm
