Bulk Density,Sand,Silt,Clay,Moisture,pH,EC,OC,OM
1.591,5.974,50.81,43.216,33.951,8.28,3.441,0.947,1.629
1.527,4.968,52.958,42.074,36.36,8.48,3.12,0.745,1.281
1.462,3.773,54.831,41.396,38.494,8.5,2.988,0.521,0.896
1.394,3.953,55.064,40.983,39.763,8.51,2.708,0.46,0.791
1.391,3.419,58.061,38.52,40.127,8.58,2.646,0.355,0.611
1.517,6.4,55.421,38.179,32.828,8.2,3.792,0.892,1.534
1.495,8.429,55.17,36.401,32.671,8.33,3.48,0.717,1.233
1.478,3.936,60.939,35.125,34.923,8.39,3.384,0.473,0.814
1.4,3.888,61.223,34.889,37.57,8.45,3.271,0.376,0.647
1.377,3.902,65.71,30.388,38.023,8.5,3.19,0.287,0.494
1.586,5.665,43.26,51.075,38.102,7.95,6.529,0.815,1.402
1.579,3.271,48.749,47.98,37.489,8,6.428,0.695,1.195
1.443,3.929,50.017,46.054,44.91,8.48,6.113,0.568,0.977
1.261,3.183,54.314,42.503,46.309,8.61,5.972,0.391,0.673
1.24,4.524,54.346,41.13,47.908,8.75,5.819,0.25,0.43
1.546,12.685,47.667,39.648,32.825,7.89,7.238,0.783,1.347
1.515,11.417,50.365,38.218,36.07,8.65,7.005,0.587,1.01
1.507,6.43,58.591,34.979,38.924,8.78,6.92,0.449,0.772
1.49,6.396,61.86,31.744,38.96,8.74,6.466,0.31,0.533
1.316,8.836,62.681,28.483,41.822,8.86,6.458,0.204,0.351
