Location,Carbon,Nitrogen,depth
Hiron Point1,0.78,0.13,0-20 cm
Hiron Point2,0.59,0.11,20-40 cm
Hiron Point3,0.45,0.09,40-60 cm
Hiron Point4,0.31,0.08,60-80 cm
Hiron Point5,0.2,0.07,80-100 cm
