Model,MSE,MAE,R2,RMSE
cnn,837.3674244626512,28.592541576672904,-31.18980968123833,28.937301609905703
rnn,781.8026199001791,27.429242705253706,-29.053805304200427,27.9607335365183
gru,895.0840855924368,29.443778442617962,-33.408535037549576,29.917955905984567
lstm,1043.3717748663446,31.891434299227306,-39.10896277852698,32.3012658399999
mvg_cnn,306.91435769883793,17.301588773335496,-10.798303198986874,17.51897136531817
mvg_rnn,774.4738161628927,27.272769342971174,-28.772073783959137,27.829369668803007
mvg_gru,896.3532965581052,29.435293785121342,-33.457325637991694,29.939159917374187
mvg_lstm,947.2208768805997,30.336380229845435,-35.41276082891395,30.776953664724513
auto_cnn,0.8872475970354502,0.6031784998227471,0.9658927127395305,0.9419382129606221
auto_rnn,771.5953062928367,27.27621046771742,-28.661419031725217,27.77760440161888
auto_gru,763.8558647686211,27.14567875169728,-28.363901905520503,27.63794248435692
auto_lstm,1095.0794246728933,32.692798942752084,-41.096691650837755,33.0919842963956
mvg_auto_cnn,492.5449227854317,21.927081195883556,-17.934253782439143,22.193353121721643
mvg_auto_rnn,923.6454979483965,29.95850477440716,-34.506483681247644,30.391536617097803
mvg_auto_gru,1209.6847037395567,34.40308684969601,-45.50231099289475,34.78052190148326
mvg_auto_lstm,1034.8389505052703,31.76076556519286,-38.780946684035754,32.16891279644481
hybrid_cnn_lstm,700.4172030470024,25.9668575276414,-25.92521323959611,26.465396332702113
hybrid_lstm_rnn_gru,476.2195049909899,21.218719883748932,-17.306677313116836,21.822454146841274
hybrid_cnn_rnn_gru,706.4244113735601,26.08469964014341,-26.156140413377123,26.578645777645633
hybrid_cnn_gru,674.9164255731448,25.471833610795947,-24.944920539370944,25.979153673150034
hybrid_rnn_gru,717.294418094939,26.288470767556806,-26.574001721774096,26.78235273636241
hybrid_rnn_lstm,716.7607477696318,26.27929105784795,-26.55348653847187,26.77238778610589
mavg_hybrid_cnn_lstm,753.3079742995232,26.96945802113781,-27.958423286673234,27.446456498053134
mavg_hybrid_lstm_rnn_gru,476.0950684663255,21.21547160370709,-17.301893764187984,21.819602848501287
mavg_hybrid_cnn_rnn_gru,612.6814908687707,24.22236448732141,-22.552505160968018,24.75240373920825
mavg_hybrid_cnn_gru,683.4738577159246,25.633415937031785,-25.27388259830578,26.143332949643675
mavg_hybrid_rnn_gru,703.9003704647108,26.02998903640329,-26.05911204314209,26.531120791717616
mavg_hybrid_rnn_lstm,758.441624267178,27.06325591387814,-28.15576941049092,27.53981888588191
