Model,MSE,MAE,R2,RMSE
CNN,4.524475890091831,1.6311534031294288,-4.346645101773014,2.1270815428873036
RNN,0.01402461810849093,0.09027681048545572,0.9834268857795863,0.11842558046507913
GRU,0.016147971846246265,0.09747170413352753,0.9809176849048148,0.12707467035663034
LSTM,0.01481360833475308,0.08571351990724602,0.9824945234836948,0.12171116766654193
MA CNN,60.19738136506695,5.8372575984946975,-70.13620274116762,7.758697143532989
MA RNN,0.07434560083625232,0.21509801357984543,0.9121446213427712,0.2726638971999269
MA GRU,0.08008528666629168,0.25850750923156735,0.9053619433322418,0.2829934392636898
MA LSTM,0.1556572612406858,0.2786919913689295,0.8160573393284182,0.39453423329374826
AE CNN,3.372875905472523,1.5901707972586157,-2.9857810886725407,1.8365391107930489
AE RNN,0.014505230184315666,0.09438610272068115,0.9828589388475032,0.12043766098822936
AE GRU,0.01577965014199894,0.09854405440286629,0.9813529365193063,0.1256170774297784
AE LSTM,0.0162232059211931,0.09130329777590102,0.9808287796021736,0.1273703494585498
MA AE CNN,3.388118554094824,1.59469228019317,-3.0037935689186943,1.8406842624673099
MA AE RNN,0.10102222577327528,0.2514241797063086,0.880620429476987,0.3178399373478344
MA AE GRU,0.2086578563141576,0.4116770053572125,0.7534256933821555,0.4567908233690313
MA AE LSTM,0.1313389089739941,0.3172546539041731,0.8447947228814243,0.36240710392319037
HY CNN LSTM,0.8987149417347529,0.780039677090115,-0.062025736868012826,0.9480057709395828
HY LSTM RNN GRU,0.013745555996284346,0.08827771848067639,0.983756657914871,0.11724144316872062
HY CNN RNN GRU,0.8896287100868245,0.7848151217566596,-0.05128839245197625,0.9432013094174672
HY CNN GRU,0.8714701822221944,0.7922698717647129,-0.029830171340566203,0.9335256730386124
HY RNN GRU,0.013506766851719225,0.09018505410187773,0.9840388388439243,0.11621861663141247
HY RNN LSTM,0.015586941080753777,0.09323223401481905,0.9815806638811937,0.12484767150713616
MA HY CNN LSTM,0.8830280667082655,0.7867737489938736,-0.04348830721651087,0.9396957309194639
MA HY LSTM RNN GRU,0.08986909530770766,0.2553778518570794,0.8938002610910201,0.29978174612158703
MA HY CNN RNN GRU,0.8868004959592802,0.785698454313808,-0.047946246846799045,0.9417008526911719
MA HY CNN GRU,0.8904462758061192,0.7845982022417917,-0.05225452286235521,0.9436346092668069
MA HY RNN GRU,0.03170931837273641,0.1497994246747759,0.9625285942777537,0.178071104822586
MA HY RNN LSTM,0.07082989409797452,0.197765997449557,0.9162991878976836,0.2661388624345842
