Metals,Ghagra (Clupisoma garua),"Koi
(Anabas testudineus)","Tatkini
(Cirrhinus reba)",Tengra (Mystus vittatus),Batashi (Neotropius atherinoides),Jatka (juvenile) Tenualosa ilisha,Rani (Botia dario),"Chanda
(Pseudambassis ranga)"
Cr,0.69,0.95,1.36,2.37,0.27,1.13,1.02,1.98
Mn,1.63,0.49,0.42,0.74,0.35,0.93,1.65,1.78
Fe,105.47,83.99,77.85,90.12,43.52,94.58,114.31,133.25
Co,1.27,2.68,3.61,5.13,3.49,3.05,3.52,4.77
Cu,22.16,19.82,17.15,21.59,15.19,28.9,11.48,23.95
Zn,82.25,149.47,135.34,81.27,129.11,172.53,161.89,158.31
As,0.43,0.47,0.56,0.61,0.42,0.51,0.52,0.57
Se,2.79,3.99,4.77,5.37,3.21,4.39,4.15,5.1
Cd,0.53,0.87,2.17,3.15,0.72,1.76,2.11,2.79
Hg,0.55,0.76,0.98,1.24,0.69,1.71,0.93,1.5
Pb,0.78,1.18,0.63,0.97,0.58,0.46,0.61,0.78
