,Values,Fish,Parameter
0,0.69,Ghagra,Cr
1,0.95,Koi,Cr
2,1.36,Tatkini,Cr
3,2.37,Tengra,Cr
4,0.27,Batashi,Cr
5,1.13,Jatka,Cr
6,1.02,Rani,Cr
7,1.98,Chanda,Cr
8,1.63,Ghagra,Mn
9,0.49,Koi,Mn
10,0.42,Tatkini,Mn
11,0.74,Tengra,Mn
12,0.35,Batashi,Mn
13,0.93,Jatka,Mn
14,1.65,Rani,Mn
15,1.78,Chanda,Mn
16,105.47,Ghagra,Fe
17,83.99,Koi,Fe
18,77.85,Tatkini,Fe
19,90.12,Tengra,Fe
20,43.52,Batashi,Fe
21,94.58,Jatka,Fe
22,114.31,Rani,Fe
23,133.25,Chanda,Fe
24,1.27,Ghagra,Co
25,2.68,Koi,Co
26,3.61,Tatkini,Co
27,5.13,Tengra,Co
28,3.49,Batashi,Co
29,3.05,Jatka,Co
30,3.52,Rani,Co
31,4.77,Chanda,Co
32,22.16,Ghagra,Cu
33,19.82,Koi,Cu
34,17.15,Tatkini,Cu
35,21.59,Tengra,Cu
36,15.19,Batashi,Cu
37,28.9,Jatka,Cu
38,11.48,Rani,Cu
39,23.95,Chanda,Cu
40,82.25,Ghagra,Zn
41,149.47,Koi,Zn
42,135.34,Tatkini,Zn
43,81.27,Tengra,Zn
44,129.11,Batashi,Zn
45,172.53,Jatka,Zn
46,161.89,Rani,Zn
47,158.31,Chanda,Zn
48,0.43,Ghagra,As
49,0.47,Koi,As
50,0.56,Tatkini,As
51,0.61,Tengra,As
52,0.42,Batashi,As
53,0.51,Jatka,As
54,0.52,Rani,As
55,0.57,Chanda,As
56,2.79,Ghagra,Se
57,3.99,Koi,Se
58,4.77,Tatkini,Se
59,5.37,Tengra,Se
60,3.21,Batashi,Se
61,4.39,Jatka,Se
62,4.15,Rani,Se
63,5.1,Chanda,Se
64,0.78,Ghagra,Pb
65,1.18,Koi,Pb
66,0.63,Tatkini,Pb
67,0.97,Tengra,Pb
68,0.58,Batashi,Pb
69,0.46,Jatka,Pb
70,0.61,Rani,Pb
71,0.78,Chanda,Pb
72,0.53,Ghagra,Cd
73,0.87,Koi,Cd
74,2.17,Tatkini,Cd
75,3.15,Tengra,Cd
76,0.72,Batashi,Cd
77,1.76,Jatka,Cd
78,2.11,Rani,Cd
79,2.79,Chanda,Cd
80,0.55,Ghagra,Hg
81,0.76,Koi,Hg
82,0.98,Tatkini,Hg
83,1.24,Tengra,Hg
84,0.69,Batashi,Hg
85,1.71,Jatka,Hg
86,0.93,Rani,Hg
87,1.5,Chanda,Hg
88,15.8,Ghagra,Protein
89,16.4,Koi,Protein
90,17.3,Tatkini,Protein
91,17.5,Tengra,Protein
92,15.1,Batashi,Protein
93,18.7,Jatka,Protein
94,15.3,Rani,Protein
95,16.5,Chanda,Protein
96,0.68,Ghagra,OPFA
97,0.375,Koi,OPFA
98,0.24,Tatkini,OPFA
99,0.115,Tengra,OPFA
100,0.3,Batashi,OPFA
101,0.43,Jatka,OPFA
102,0.345,Rani,OPFA
103,0.195,Chanda,OPFA
104,12.79,Ghagra,Lipid
105,12.1,Koi,Lipid
106,9.82,Tatkini,Lipid
107,7.1,Tengra,Lipid
108,10.7,Batashi,Lipid
109,11.56,Jatka,Lipid
110,11.15,Rani,Lipid
111,7.69,Chanda,Lipid
