,Se,Fish
0,2.79,Ghagra (Clupisoma garua)
1,3.99,Koi (Anabas testudineus)
2,4.77,Tatkini (Cirrhinus reba)
3,5.37,Tengra (Mystus vittatus)
4,3.21,Batashi (Neotropius atherinoides)
5,4.39,Jatka (juvenile) Tenualosa ilisha
6,4.15,Rani (Botia dario)
7,5.1,Chanda (Pseudambassis ranga)
