,Fe,Fish
0,105.47,Ghagra (Clupisoma garua)
1,83.99,Koi (Anabas testudineus)
2,77.85,Tatkini (Cirrhinus reba)
3,90.12,Tengra (Mystus vittatus)
4,43.52,Batashi (Neotropius atherinoides)
5,94.58,Jatka (juvenile) Tenualosa ilisha
6,114.31,Rani (Botia dario)
7,133.25,Chanda (Pseudambassis ranga)
