Cd,Sr,Fe,Hg,Co,Ni,Cu,Mn,Cr,Pb,As
0.57,180,22000,0.25,0.21,17.73,46,450,18.15,17,8.77
0.52,166,21790,0.17,0.17,15.73,34,431,16.15,13,6.91
