Sampling sites,CdW,CdR,SrW,SrR,FeW,FeR,HgW,HgR,CoW,CoR,NiW,NiR,CuW,CuR,MnW,MnR,CrW,CrR,PbW,PbR,AsW,AsR
Site 1,9.78,6.7,248,205,66870,42870,7.29,4.25,7.13,3.15,258.67,117.69,802.4,322.1,1811.7,797.8,298.2,54.2,256.8,169.7,72.6,56.9
Site 2,9.17,6.1,230,172,51450,59450,7.29,4.24,6.98,3.05,249.66,109.21,793.4,313.9,2202.1,1000.4,300.4,56.3,359.7,177.1,84.7,59.2
Site 3,9.89,6.75,254,232,62650,67650,7.47,4.34,7.2,2.7,256.55,113.55,798.7,319.7,2263.7,1152.1,376.6,132.6,828.6,231.6,217.9,72.1
Site 4,9.45,6.27,277,202,50560,63580,7.45,4.34,7.17,3.3,254.8,115.3,796.4,315.4,2116.4,1029.8,361.8,117.3,787.3,188.3,213.3,67.3
Site 5,8.6,5.47,193,165,47800,54450,7.28,4.24,6.97,2.61,248.93,108.63,792.44,311.44,2013.5,919.8,353.7,109.7,767.2,170.3,212.5,67.2
Site 6,9.3,6.21,197,180,68970,75170,7.41,4.27,7.1,2.96,258.5,118.5,805.9,355.9,2270.5,1181.4,448.3,204.8,846.3,249.3,228.7,81.8
Site 7,10.98,7.4,341,331,99700,48700,7.59,4.35,7.34,3.3,260.63,117.63,945.7,505.7,1859.8,836.9,380.4,134.4,813.7,226.7,214.2,68.3
Site 8,12.12,7.9,398,352,41455,47455,7.63,4.38,7.36,3.17,261.4,120.5,845.9,345.9,1919.8,812.4,378.8,144.8,807.4,220.4,214.5,69
Site 9,14.19,7.72,417,379,136470,42590,12.02,4.53,7.95,3.7,267.8,126.1,848.7,368.4,2310.3,790.5,328.8,84.2,763.1,166.3,210.9,65.3
Site 10,16.53,9.98,423,392,169780,38780,17.26,5.17,9.79,5.8,285.1,145.1,906.4,426.8,3808.7,755.1,319.5,75.5,759.3,162.3,209.25,64.3
Site 11,14.78,10.12,404,393,107800,64100,10.08,4.61,8.14,4.1,271.7,131.7,993.4,505.3,2041.4,1032.5,518.4,274.3,855.9,258.7,237.8,91.4
Site 12,9.14,6.07,219,170,45780,52990,7.39,4.27,6.95,2.6,245.47,102.47,791.7,320.2,1937.9,910.9,356.8,112.8,769.4,172.3,212.3,59.3
Site 13,10.45,6.9,277,233,53478,61478,7.55,4.43,7.31,3.13,259.8,118.3,842.4,362.7,2210.6,1016.9,444.4,200.4,836.9,239.2,228.2,80.4
Site 14,14.83,10.55,363,299,139785,46185,9.23,4.71,8.23,4.17,280.5,139.1,998.7,518.3,2423.4,808.3,560.4,236.4,889.3,312.3,241.9,94.7
Site 15,14.92,10.62,410,372,134900,38900,8.25,4.72,8.55,4.7,287.8,145.2,1032.1,442.1,2301.7,775.3,456.1,134.1,860.8,263.8,231.8,86.1
Site 16,15.89,11.75,400,384,150680,64680,18.31,4.88,7.69,3.4,265.7,124.7,845.7,365.7,3554.8,1106.3,452.2,128.7,857.5,280.5,230.1,80.7
Site 17,14.1,12.33,415,386,39780,38780,7.85,4.48,7.65,3.6,263.9,122.89,847.3,357.3,1818.6,756.1,576.5,252.5,875.2,298.2,244.9,89.2
Site 18,11.16,7.42,289,238,61460,66460,7.89,4.53,7.43,3.25,257.6,126.1,839.4,325.4,2251.3,1130.6,331.7,122.7,768.7,191.7,212.3,68.6
Site 19,12.18,7.75,406,383,60980,67100,8.1,4.61,8.19,3.98,270.4,109.8,880.3,340.3,2249.8,1148.7,316.9,72.5,747.1,170.1,206.4,63.4
Site 20,14.05,9.97,402,365,143480,49480,15.81,4.42,7.37,3.3,253.87,102.24,822.4,348.4,3296.4,901.7,299.3,55.3,757.7,180.7,202.8,58.2
