,CdW,CdR,HgW,HgR,NiW,NiR,MnW,MnR,CuW,CuR,CrW,CrR,PbW,PbR,AsW,AsR
0,4.439643719174081,3.674650958849211,7.843937336642642,5.989144844389572,5.075547101666763,3.423573154993627,2.8286177297170374,1.8770599049292531,7.591657657802148,4.809905212794792,3.2056793246064528,1.3666770447403433,3.43851252740706,2.7952073034824836,3.7380230894263575,3.3092517141916438
1,4.298959561181869,3.5062559012782577,7.843937336642642,5.982094642011206,4.986367852710657,3.2979269710640233,3.11852791189784,2.1019285955562013,7.548962250247023,4.748285385463087,3.2174827026371893,1.3929016538802141,4.069521245717635,2.85550142892558,4.037526394538947,3.3754720998886683
2,4.464541228124608,3.6883368570917785,7.940185567161425,6.0522271038824424,5.054705300109741,3.3628182848824637,3.1618448276437436,2.2556733334169365,7.574134234868269,4.791952160241252,3.6025201154180952,2.1376569870778894,6.176544371930758,3.265445040885327,6.475932068446519,3.725128869943047
3,4.364099022700369,3.554777825980606,7.929549011057349,6.0522271038824424,5.037436013893886,3.388632599445124,3.0572432405492465,2.132590944607615,7.563220832964731,4.759616923458327,3.531022930520213,2.01055178104905,6.020647864603555,2.9444098454101706,6.407212043989261,3.5989946528759442
4,4.163206161813313,3.3202620016980067,7.838555560820977,5.982094642011206,4.979072504469188,3.2891578836911504,2.981995158474388,2.015476875474666,7.544393812337921,4.729642891965723,3.4912728130591546,1.9443281789905984,5.943296518762444,2.800144382343138,6.395185356625622,3.596319814414363
5,4.329324771128128,3.5377284335673824,7.908232980531401,6.003220409853048,5.0738789824014345,3.435334303596128,3.166590249407339,2.284176190569637,7.60819672181869,5.055977697470811,3.930525571255815,2.6566309797745196,6.242165394151858,3.3879285329770576,6.634477897634781,3.9678050070625317
6,4.704135925060786,3.8618424485619176,8.003708064025492,6.059195703892412,5.094740086338669,3.4227003511158376,2.8659211580784065,1.9225068724381207,8.24171988859869,6.026811834074732,3.6206497179820243,2.152117063909485,6.1207587095637175,3.230716586055396,6.420715140197669,3.6256345031225163
7,4.942310221675775,3.990177705017291,8.02477049008523,6.080053582113013,5.102260434471607,3.4642031666193582,2.9117837010113967,1.8941574409396895,7.794722671465257,4.984440734478823,3.613027289068301,2.233832152105967,6.09701795217768,3.1855094393032735,6.425209866082541,3.644166527121727
8,5.347735142142377,3.944458055345526,10.072159283937433,6.183287675488696,5.164343453727545,3.5437850704633904,3.194223541272676,1.8684524678208778,7.8076126067291405,5.1440000757737465,3.3661398949621972,1.7034221978352497,5.927394434123029,2.7670641382388883,6.371063873758784,3.545114445800587
9,5.771851100347576,4.484809110903473,12.069540797266768,6.605650973839511,5.328542567782232,3.8013997088015525,4.1012807537179,1.8261369840690977,8.06865421417269,5.53673019602875,3.318193344310158,1.61301992629823,5.912617727510764,2.733583605505346,6.3460925670438835,3.5178648915245714
10,5.457778536568273,4.516156136237039,9.223603329924783,6.237647294184119,5.2018119749038965,3.6216186535391666,3.0025840430271673,2.135384800848394,8.447014377368117,6.024427810312911,4.226674007044855,3.0745330112785156,6.277469544996877,3.4512094393320067,6.765183709797546,4.194177123891831
11,4.291921696334972,3.4976233336427853,7.897553390270087,6.003220409853048,4.9443481357039705,3.1945390329782564,2.92547774326698,2.0057022794344603,7.540870419159198,4.795697921901496,3.506539048114243,1.9716090658040848,5.9518118291152176,2.8165388103819713,6.392175149183432,3.378321802464516
12,4.589198439830098,3.7290931977375363,7.982590063992429,6.114658605912543,5.086621285239679,3.432434063059211,3.124540798936073,2.119191682230339,7.7785802149510435,5.104050155096417,3.9133913593156446,2.6279380022324093,6.207402190801942,3.3185906778388308,6.627221548643369,3.933704147460324
13,5.467002437921128,4.611104046121653,8.82614792502278,6.30493777745923,5.2853805682958415,3.7219745216245963,3.2714754742556345,1.889371701967348,8.469517710213056,6.101431782458868,4.394559206230968,2.8542367440222045,6.398781011956749,3.7919193635666706,6.8232550213517325,4.269221214065493
14,5.483566361397843,4.62637625652884,8.344442486270799,6.311627368494716,5.353714722468084,3.80270940727583,3.188272813132808,1.850401658494774,8.609978055906572,5.635097218110435,3.9645718478235255,2.1497138056903773,6.295413055867933,3.4850619048455207,6.6792913093002,4.070757624929617
15,5.659012335986954,4.866285952593118,12.431242072789136,6.417712568845356,5.14405505567346,3.5240580818331173,3.962221067018626,2.210383210982643,7.793801146053103,5.12511524731658,3.9475854140759696,2.105986243847149,6.283334284844261,3.5936810871184663,6.654753581352835,3.9410363143959226
16,5.330749175011532,4.984943385408086,8.139639670324534,6.149068886616523,5.126601095644512,3.4983890339964177,2.83399911576244,1.8273457860708473,7.801170301365374,5.065912259719163,4.457238903354667,2.9498297265156554,6.347851460503533,3.705330239726341,6.865435033762251,4.143392699372261
17,4.7425376718255325,3.8670576331778146,8.160351255130928,6.183287675488696,5.065038609634376,3.5437850704633904,3.153173025977532,2.2345270048583816,7.764717113191612,4.8344818026197345,3.380951901403462,2.0563097654249196,5.949103734282065,2.9708734846947693,6.392175149183432,3.633588372652205
18,4.95452855978176,3.952114726521277,8.268235935808562,6.237647294184119,5.189352527132381,3.3068233908248192,3.152122400196961,2.252342478469073,7.951636278704757,4.943927917367843,3.3046645084594037,1.5806483412477867,5.8649250899148075,2.7984996571602125,6.302727283398958,3.4931585506670966
19,5.321289098035916,4.482561649418863,11.551444247258905,6.1077532862552095,5.0282344869819635,3.190951852656861,3.8154965901241495,1.9955478773254947,7.68568722215827,5.002420883530234,3.211586436169732,1.3804758778770143,5.906384896443721,2.8843780206055047,6.247519849445174,3.346841624326433
