Number,Sampling Point,Latitude,Longitude,NH4+  (mg/l),NO3 (mg/l),Phosphate(mg/l),Sulfates(mg/l),THB,TC,FC,FS,Vibrio C,E Coli
1,Gabtoli_Dhalweshri,23.787444,90.334250,2.6,13.1,3.5,8.77,8.36,200,158,69,10.28,12
2,Gabtoli_turag,23.784639,90.336417,3.2,12.4,5.7,11.4,15.99,240,213,100,12.67,58
3,Shah Cem MirpurGhat,23.774111,90.336833,8,17.3,6,12.4,21.95,390,290,77,16.4,69
4,Hazaribag_Shampur,23.749972,90.336750,9.4,24.6,3.5,9.25,31.7,410,370,80,18.91,70
5,Rayerbazar,23.740083,90.350281,2.1,9.8,3.9,9.20,6.14,160,120,110,8.52,6
6,Kholamora Bazar,23.716889,90.358917,5.6,18.2,5,9.86,18.73,355,285,75,15.44,65
7,Zinzira,23.710083,90.391972,4.6,12.4,6.5,18.7,10.58,198,171,42,11.39,33
8,Sadarghat_Terminal,23.702944,90.412139,11.2,24.5,5.3,10.8,35,750,560,125,18.83,130
9,Postogola Bridge,23.690139,90.424083,9.4,25.8,6.8,17.1,27.42,428,358,97,17.95,65
