,SamplingPoint,HI Adult W,HI Child W,HI Adult S,HI Child S,CR Adult W,CR Child W,CR Adult S,CR Child S
0,Gabtoli Dhalwes,33.24394012784929,24.167887713992677,19.944656815353216,14.54741163921856,0.017564796946057143,0.012649067734399997,0.01325512189017143,0.0095402602672
1,Gabtoli Turag,35.521767481559394,25.832444264566547,27.949966719979074,20.36029426842491,0.018001506594714285,0.012961588478000002,0.03727932615782857,0.0267955900688
2,Shah Cement,39.892726504908424,29.02093433435897,41.02659226926217,29.845069897533573,0.019737841980485712,0.014197405680399997,0.014268234539114286,0.0102635668228
3,Hazaribag,251.08491935559394,194.69566421455437,252.72696879185767,195.1635428795116,0.13772746240445716,0.09916961098719998,0.05895066836377142,0.0425559359984
4,Rayerbazar,15.752619980031396,11.535783561807083,31.5204814843956,22.91238907965812,0.008361196036914285,0.0060191675504000005,0.00909937461722857,0.0065465593436
5,Kholamora,15.629405567326007,11.44391646017094,19.27689636090005,14.071325897728938,0.007764556002228572,0.0055885270935999995,0.01811317234817143,0.013024859143199998
6,Zinzira,56.89962062227106,42.05675006700855,67.09374880303506,49.43148414505495,0.05583932779368571,0.040139300834799996,0.0736250232316857,0.0529037805508
7,Sadarghat Terminal,95.63122927927786,70.2869682962149,132.02879487354264,96.61244684019536,0.0500810008178,0.0361255218476,0.05977999495222857,0.043079551033600005
8,Postogola Bri,56.077008174024066,41.0632481197558,74.67576807668237,54.37827964312576,0.02949927821317143,0.021258663453200002,0.03450530966214286,0.02482471691
