,SamplingPoint,Temperature,pH,EC,TSS,Turbidity,Salinity,TDS,DO,COD,NH4+,NO3,Phosphate,Sulfates,K,Ca,Mg,Cl,Br,Cd,Cr,Ni,Cu,Zn,Mn,Hg,As,Pb,THB,TC,FC,FS,Vibrio C,E Coli
0,Gabtoli Dhalwes,30.4,6.17,1790,309,108,639,852,0.96,700,2.9,33.0,2.15,92.5,59.2,102.5,75.4,98.14,0.61,0.003,0.044,0.107,0.458,0.187,0.995,0.009,0.109,0.188,10.25,230,56,83,16.21,18
1,Gabtoli Turag,30.7,5.89,1453,322,126,702,1208,0.73,718,2.8,32.3,2.78,74.2,46.8,72.3,39.6,110.27,0.45,0.007,0.083,0.495,0.932,0.659,1.178,0.027,0.102,0.452,18.87,270,216,88,18.96,70
2,Shah Cement,32.7,5.02,2047,434,174,730,783,0.15,870,7.6,37.2,3.11,107.8,32.5,98.6,38.9,113.55,0.42,0.018,0.082,0.149,1.597,0.573,1.073,0.108,0.063,0.337,23.63,420,394,121,23.74,81
3,Hazaribag,32.8,4.37,538,461,162,360,1790,0.12,912,8.2,41.9,2.23,94.8,18.9,54.3,28.8,38.83,0.66,2.1,1.139,0.065,0.988,0.602,3.45,0.176,0.098,1.836,33.79,440,349,100,24.58,79
4,Rayerbazar,29.5,6.59,692,178,82,244,825,1.1,655,3.0,19.8,1.51,89.2,23.8,30.9,16.5,41.79,0.8,0.005,0.029,0.089,0.114,0.309,1.002,0.093,0.057,0.119,8.22,190,199,87,15.43,13
5,Kholamora,32.2,5.33,1596,296,76,930,2009,0.51,725,5.9,38.2,2.12,54.2,29.4,72.5,30.4,78.56,0.79,0.007,0.045,0.216,1.976,0.759,0.872,0.017,0.075,0.178,17.68,360,300,95,22.1,75
6,Zinzira,30.1,6.78,1963,302,108,1070,2036,1.39,530,2.2,18.4,2.29,70.8,40.1,130.2,95.1,43.95,0.41,0.106,0.198,1.023,1.851,0.755,3.107,0.089,0.112,1.457,12.41,217,107,80,16.72,39
7,Sadarghat Terminal,32.9,4.11,2119,464,175,1156,2377,0.0,1180,10.4,44.5,3.24,77.7,31.2,69.8,21.8,146.2,0.35,0.193,1.133,0.451,0.633,0.442,2.456,0.255,0.161,2.144,37.98,795,651,177,25.89,141
8,Postogola Bri,32.4,5.24,2550,387,162,1332,1895,0.27,879,9.3,19.7,4.57,102.1,29.0,65.5,30.7,167.48,0.32,0.069,0.37,0.385,0.115,0.292,1.114,0.198,0.059,1.075,29.59,460,477,132,21.47,78
