"","Dim.1","Dim.2","Dim.3"
"Cr",0.156805341214705,-0.0308616889468035,0.704458009152662
"Mn",0.835709392768427,-0.286827773592393,0.329592004185104
"Fe",0.196461422229942,-0.143449860791539,-0.864808417505706
"Co",0.815891393526104,0.420470083848817,-0.0793375112268421
"Ni",-0.856682337864727,-0.0621190433063912,0.17666957267583
"Cu",-0.280566062816828,0.847535877936326,0.434005091359235
"Zn",-0.970831568314622,-0.154492441571844,0.0421141882233274
"Cd",0.185413680400911,0.938134872916484,-0.236724416947906
"Pb",0.64952807783598,-0.322830198862778,0.318109270701748
