"","RC1","RC3","RC2","RC4","RC5"
"Temperature",0.914929561272755,-0.0410075448308927,-0.0363148275407739,-0.155834958605919,-0.0484076883236888
"pH",-0.865323231788416,0.0598086697707818,0.396476104407094,-0.113347373675907,-0.268830036060004
"EC",0.219572342638539,0.170569449336108,0.886890672804148,-0.0187680573163189,-0.312965904165988
"TSS",0.503443622212551,0.119884622851771,-0.0988417099565641,0.69843406519613,0.181572300864693
"Turbidity",0.83642735531025,0.121216119888803,0.0420902556107321,-0.185767202651515,-0.448357800933679
"Salinity",-0.210453424870314,0.0126149176873265,0.948887285916254,-0.0419456125424168,-0.0514331963677506
"TDS",0.389477056602763,0.0255453539895342,-0.0712206401156861,0.856780005840931,0.180392469566236
"DO",-0.858648043891474,0.0987417693472502,-0.194740059535922,-0.102444101421392,-0.115918370861094
"COD",0.878519844755203,0.0957421591007553,0.0802369254953731,0.377482793042652,0.239165438215445
"NH4.",0.90355400340074,-0.0683369115506851,0.160386522789535,0.286534486022486,0.1364415911486
"NO3",0.850482491129246,-0.300531501698192,0.211611083662999,0.191309232367563,0.215793389814006
"Phosphate",0.162737658900642,0.364037813500758,0.791858768910723,0.251646703699339,-0.261174643065735
"Sulfates",0.0150683622430592,0.373569237725082,0.818761268556626,0.340683906441637,0.0871643194467709
"K",-0.220927144044847,0.889328014897792,0.166194068460193,-0.213435019297279,-0.243133740329806
"Ca",-0.0109352830510941,0.887365543501908,0.355995135724491,-0.128950672679011,-0.0902104083242824
"Mg",0.056075757691525,0.883896541426835,0.331636287505696,-0.0366336916709347,-0.0244807828881945
"Cl",0.202150192681229,0.649516719584198,0.592878712166959,-0.00286941160935686,-0.329557456213896
"Br",-0.0738438482847726,-0.005336016088294,-0.144621238121784,-0.944483105830426,-0.0493335546209139
"Cd",0.331147494080053,-0.151011386924514,-0.301312160298948,0.00940261313211162,0.873248080861921
"Cr",0.763806617761163,-0.119827189619108,-0.215966396548314,0.223005547567331,0.531399581564772
"Ni",0.337892880465165,0.202412352058159,-0.110289866906341,0.208074973473941,0.883816115661647
"Cu",-0.0455388352031911,0.922035076591617,0.0238308131487879,0.134328655092186,0.242223357736127
"Zn",-0.169458249692851,0.760366512059116,-0.107467300711597,0.0743791518608299,0.343097941218668
"Mn",0.460711957438286,0.342195576868589,-0.239658791104064,0.375396336443526,0.622875564598603
"Hg",0.821411845856358,0.179061832793005,0.211569918148786,0.258660320743843,0.347453086204181
"As",-0.020981182716949,0.265926886035703,-0.290645739475049,-0.813907933097185,-0.0361894247692696
"Pb",0.889729633847818,-0.0927494692684841,-0.17956698923374,0.267631553176364,0.15992533120162
