"","PC1","PC2","PC3","PC4","PC5"
"Temperature",0.888652673236727,-0.0738299888757837,-0.0162865508033895,-0.397746944788834,0.0525397476426197
"pH",-0.928450522228083,0.234538026858579,-0.0420722901156579,0.257189626318035,-0.0949453624506739
"EC",0.2848081032514,0.817529333516459,-0.43951063874052,-0.147924935086913,-0.0450728867472314
"TSS",0.912111203878181,0.106074832681781,0.0900468346219299,-0.0818409560982659,0.343995648041307
"Turbidity",0.870860598560811,0.107072262045529,-0.164738651689345,0.166436652216937,0.290545111265579
"Salinity",0.406008224358434,0.800544883772363,-0.154216319581298,-0.149171945764316,-0.337537236734521
"TDS",0.548291976883929,0.35502186645182,0.488893641773708,-0.0584550681947983,-0.494700660381904
"DO",-0.895871594706079,0.248652075945739,0.174746806798644,0.308610268921066,-0.0780307495843775
"COD",0.928580899750342,-0.148449237233233,-0.146214803459621,-0.0525974341691499,0.0485221344646246
"NH4.",0.945352748083915,-0.114020208658894,-0.158607999539512,-0.124904654403076,-0.133495246550674
"NO3",0.559458572630153,-0.282585703289041,0.240093454200022,-0.490591153690589,0.441860725868427
"Phosphate",0.647421398188595,0.445557950914712,-0.515394647851278,0.0221308385323388,-0.155801648209704
"Sulfates",0.287108670639253,-0.231826035067234,-0.550219220696227,0.443284257460647,0.393726217616342
"K",-0.434676241035581,0.543354796130574,-0.200435342301786,0.00640793655036773,0.545116062412445
"Ca",-0.172285403360812,0.803650498179501,0.199272003450882,-0.094107398161584,0.445226916438859
"Mg",-0.440452846393457,0.676278191693734,0.276569978100286,0.197201298186401,0.400247463388948
"Cl",0.541024098853612,0.404344600559994,-0.680449611298419,-0.140861467230277,-0.040309427178184
"Br",-0.520198535108496,-0.725542509972652,0.224905620036329,-0.22024915603716,-0.0894973285109781
"Cd",0.429134608958919,-0.510096432698647,0.543007524356806,0.235523747623245,0.20548158518302
"Cr",0.833315887892801,-0.181492996113089,0.400493636311163,0.284015612619738,0.00839786352974176
"Ni",-0.0753580801282311,0.832243368454027,0.376953945298946,0.192526062873017,-0.265269690070757
"Cu",-0.117177499010962,0.305320774876252,0.57475624247411,-0.645783492276493,0.107888646233982
"Zn",-0.0212899949486646,0.200779710579799,0.693127794155427,-0.521899274571234,-0.124899612938649
"Mn",0.39778105457434,0.0873306516594912,0.797154889215449,0.42001247853086,0.0728156900051094
"Hg",0.854129304902353,-0.0233216257231109,0.00206171970522328,0.395496540086146,-0.258467605572684
"As",0.366953546531127,0.360447758138474,0.457225057859929,0.168257983634291,0.250811798278993
"Pb",0.737716802863669,0.200048594013753,0.497943893797566,0.39498075237806,-0.0933544819734344
