Model,MSE,MAE,R2,RMSE
CNN,3.254179279271085,1.5563280249966516,-2.888339917383309,1.8039343888487422
RNN,0.024150822704689053,0.11589645296438698,0.971142767530213,0.15540534966560532
GRU,0.022376927089052034,0.11349632751429452,0.9732623523900544,0.14958919442610832
LSTM,0.015901609076591078,0.1047610351567467,0.980999552877436,0.1261015823714797
MA CNN,9.499364152712324,2.1690453097389804,-10.350559896941204,3.0821038517078434
MA RNN,0.03793543344140488,0.1526835759811931,0.9546718703935413,0.19477020676018414
MA GRU,0.2411328153161021,0.3960526468025314,0.711876245676718,0.4910527622527971
MA LSTM,0.15628397306724315,0.28167418171962105,0.8132600699673999,0.39532767809406305
AE CNN,2.9562960181729085,1.4778633527126577,-2.5324064314114483,1.7193882685923236
AE RNN,0.01999340676215314,0.10823143425708014,0.9761103630359373,0.14139804369987988
AE GRU,0.021434107244821803,0.110008037993167,0.9743889049615657,0.1464039181334359
AE LSTM,0.018925353604263388,0.11340327402783762,0.9773865538574339,0.13756945011252822
MA AE CNN,3.128800721410258,1.5208427061637242,-2.73852811862359,1.7688416326540535
MA AE RNN,0.12382015883597279,0.299178311129411,0.8520502944488979,0.3518808872842809
MA AE GRU,0.17987907360346783,0.3779086443781853,0.7850668564422295,0.42412153164331073
MA AE LSTM,0.30564241200180353,0.4605725918213526,0.6347952927479363,0.5528493574218962
HY CNN LSTM,0.8969625729964239,0.7632978440655602,-0.07175883000584293,0.9470810804764416
HY LSTM RNN GRU,0.016792174428149523,0.10560595281266916,0.9799354379322143,0.12958462265311238
HY CNN RNN GRU,0.8723603555315009,0.7737251053916083,-0.04236223688192853,0.9340023316520687
HY CNN GRU,0.8818443290356002,0.7704343163967132,-0.05369440686601612,0.9390656681167724
HY RNN GRU,0.022221100297491785,0.11429564830433162,0.9734485460449895,0.14906743540254452
HY RNN LSTM,0.017956734939156758,0.10448093255412659,0.9785439328144716,0.13400274228222628
MA HY CNN LSTM,0.8821475811416978,0.7703376856777403,-0.054056755454700456,0.9392271190408089
MA HY LSTM RNN GRU,0.2408413228680827,0.40848139544328055,0.7122245429350986,0.49075586890844486
MA HY CNN RNN GRU,0.8841491323123396,0.770424357453982,-0.05644836041729939,0.9402920462879284
MA HY CNN GRU,0.8833392289076824,0.769952010512352,-0.05548062647663632,0.9398612817366626
MA HY RNN GRU,0.04927288115188209,0.17468653192122774,0.9411250290210619,0.22197495613668242
MA HY RNN LSTM,0.09361911569433899,0.24358995871411426,0.8881367886203358,0.30597241002145764
