Model,MSE,MAE,R2,RMSE
CNN,0.020690469088182048,0.0830535510968831,0.975519830144833,0.14384181967766554
RNN,0.02172506345084089,0.08519371249609525,0.9742957377561519,0.147394244971915
GRU,0.01688495608041473,0.07978652778598999,0.9800223672511281,0.129942125888469
LSTM,0.017809918347116246,0.08304625446597737,0.9789279873556328,0.13345380604207677
MA CNN,0.03375033567059511,0.11704977462313969,0.960067896655036,0.18371264428611087
MA RNN,0.03049554882506009,0.11997338632199295,0.9639188356782876,0.17462974782396065
MA GRU,0.01792337168142336,0.08208220945981644,0.9787937537197189,0.13387819718469232
MA LSTM,0.022167468251626802,0.09584377123042943,0.973772301355468,0.14888743483459846
AE CNN,0.01872477236883458,0.08096397073111603,0.9778455671481017,0.13683849008533594
AE RNN,0.015409161420283733,0.08071070471157632,0.9817684709183471,0.12413364338600448
AE GRU,0.016504425069472358,0.08119329580416283,0.9804725969556034,0.12846954919151993
AE LSTM,0.01930312169369926,0.08820119778729148,0.9771612863979665,0.13893567466169104
MA AE CNN,0.02982369446190594,0.1173324090242386,0.9647137480052074,0.17269538054593683
MA AE RNN,0.06443352203678554,0.20102791717586418,0.9237647267877509,0.2538375898813758
MA AE GRU,0.04039290814155397,0.14915975681609575,0.9522086595506821,0.20097986999088732
MA AE LSTM,0.060430084375249854,0.19413190750612153,0.9285014407569352,0.24582531272277444
HY CNN LSTM,0.026941079498967634,0.09494195418018435,0.9681243475241947,0.16413737995644878
HY LSTM RNN GRU,0.019929470481136708,0.08112564092915922,0.9764202145237767,0.1411717765034382
HY CNN RNN GRU,0.034214529137791806,0.10244004364849794,0.9595186807395243,0.1849716982075685
HY CNN GRU,0.01979610826752605,0.08017481314328812,0.9765780035824749,0.14069864344593394
HY RNN GRU,0.02217296359568692,0.08304199805638443,0.9737657994750403,0.1489058883848685
HY RNN LSTM,0.021343090642112983,0.08457386516448526,0.9747476733404956,0.1460927467128775
MA HY CNN LSTM,0.024394655209339852,0.10725496631063937,0.9711371791264041,0.15618788432314412
MA HY LSTM RNN GRU,0.02443943075381729,0.11003903263300246,0.9710842024186507,0.15633115733537345
MA HY CNN RNN GRU,0.04849355456684296,0.15471297243816987,0.9426242852388887,0.2202125213670716
MA HY CNN GRU,0.025485802662489194,0.10634366118349137,0.9698461752890195,0.15964273444942365
MA HY RNN GRU,0.02037516203830845,0.09844354393995472,0.975892889358935,0.14274159183051185
MA HY RNN LSTM,0.033540689327140986,0.13750706162407167,0.9603159421718099,0.18314117321656806
