,y,Metals,Age,Param,ParamAge
0,0.06457,Cr,Adult,THQ,THQ Adult
1,0.030605,Cr,Adult,THQ,THQ Adult
2,0.025973,Cr,Adult,THQ,THQ Adult
3,0.09009,Cr,Adult,THQ,THQ Adult
4,0.022613,Cr,Adult,THQ,THQ Adult
5,0.028062,Cr,Adult,THQ,THQ Adult
6,2.273133,Mn,Adult,THQ,THQ Adult
7,1.778184,Mn,Adult,THQ,THQ Adult
8,2.691796,Mn,Adult,THQ,THQ Adult
9,7.631296,Mn,Adult,THQ,THQ Adult
10,6.806684,Mn,Adult,THQ,THQ Adult
11,5.930306,Mn,Adult,THQ,THQ Adult
12,1.742947,Fe,Adult,THQ,THQ Adult
13,0.359578,Fe,Adult,THQ,THQ Adult
14,1.664845,Fe,Adult,THQ,THQ Adult
15,0.50839,Fe,Adult,THQ,THQ Adult
16,1.359157,Fe,Adult,THQ,THQ Adult
17,1.388945,Fe,Adult,THQ,THQ Adult
18,1.595643,Co,Adult,THQ,THQ Adult
19,1.258714,Co,Adult,THQ,THQ Adult
20,3.57335,Co,Adult,THQ,THQ Adult
21,3.162043,Co,Adult,THQ,THQ Adult
22,1.978343,Co,Adult,THQ,THQ Adult
23,3.263121,Co,Adult,THQ,THQ Adult
24,0.061138,Ni,Adult,THQ,THQ Adult
25,0.071836,Ni,Adult,THQ,THQ Adult
26,0.047597,Ni,Adult,THQ,THQ Adult
27,0.044273,Ni,Adult,THQ,THQ Adult
28,0.039233,Ni,Adult,THQ,THQ Adult
29,0.05251,Ni,Adult,THQ,THQ Adult
30,0.451781,Cu,Adult,THQ,THQ Adult
31,0.801,Cu,Adult,THQ,THQ Adult
32,0.780233,Cu,Adult,THQ,THQ Adult
33,0.759467,Cu,Adult,THQ,THQ Adult
34,0.378462,Cu,Adult,THQ,THQ Adult
35,0.318747,Cu,Adult,THQ,THQ Adult
36,0.750143,Zn,Adult,THQ,THQ Adult
37,1.006971,Zn,Adult,THQ,THQ Adult
38,0.351804,Zn,Adult,THQ,THQ Adult
39,0.2339,Zn,Adult,THQ,THQ Adult
40,0.40512,Zn,Adult,THQ,THQ Adult
41,0.387786,Zn,Adult,THQ,THQ Adult
42,0.094994,Cd,Adult,THQ,THQ Adult
43,0.1424,Cd,Adult,THQ,THQ Adult
44,0.247202,Cd,Adult,THQ,THQ Adult
45,0.151118,Cd,Adult,THQ,THQ Adult
46,0.128233,Cd,Adult,THQ,THQ Adult
47,0.117516,Cd,Adult,THQ,THQ Adult
48,0.979,Pb,Adult,THQ,THQ Adult
49,1.4685,Pb,Adult,THQ,THQ Adult
50,1.347714,Pb,Adult,THQ,THQ Adult
51,4.094,Pb,Adult,THQ,THQ Adult
52,1.799071,Pb,Adult,THQ,THQ Adult
53,6.166429,Pb,Adult,THQ,THQ Adult
54,8.013348,HI,Adult,HI,HI Adult
55,6.917788,HI,Adult,HI,HI Adult
