,y,Metals,Age,Param,ParamAge
0,0.004197,Cr,Adult,CR,CR Adult
1,0.001989,Cr,Adult,CR,CR Adult
2,0.001688,Cr,Adult,CR,CR Adult
3,0.005856,Cr,Adult,CR,CR Adult
4,0.00147,Cr,Adult,CR,CR Adult
5,0.001824,Cr,Adult,CR,CR Adult
6,0.290407,Co,Adult,CR,CR Adult
7,0.229086,Co,Adult,CR,CR Adult
8,0.65035,Co,Adult,CR,CR Adult
9,0.575492,Co,Adult,CR,CR Adult
10,0.360058,Co,Adult,CR,CR Adult
11,0.593888,Co,Adult,CR,CR Adult
12,2.35e-05,Cd,Adult,CR,CR Adult
13,3.52e-05,Cd,Adult,CR,CR Adult
14,6.11e-05,Cd,Adult,CR,CR Adult
15,3.73e-05,Cd,Adult,CR,CR Adult
16,3.17e-05,Cd,Adult,CR,CR Adult
17,2.9e-05,Cd,Adult,CR,CR Adult
18,1.55e-05,Pb,Adult,CR,CR Adult
19,2.32e-05,Pb,Adult,CR,CR Adult
20,2.13e-05,Pb,Adult,CR,CR Adult
21,6.46e-05,Pb,Adult,CR,CR Adult
22,2.84e-05,Pb,Adult,CR,CR Adult
23,9.73e-05,Pb,Adult,CR,CR Adult
24,0.135114,Ni,Adult,CR,CR Adult
25,0.158757,Ni,Adult,CR,CR Adult
26,0.105189,Ni,Adult,CR,CR Adult
27,0.097843,Ni,Adult,CR,CR Adult
28,0.086704,Ni,Adult,CR,CR Adult
29,0.116047,Ni,Adult,CR,CR Adult
30,0.000609,Cr,Child,CR,CR Child
31,0.000289,Cr,Child,CR,CR Child
32,0.000245,Cr,Child,CR,CR Child
33,0.00085,Cr,Child,CR,CR Child
34,0.000213,Cr,Child,CR,CR Child
35,0.000265,Cr,Child,CR,CR Child
36,0.042168,Co,Child,CR,CR Child
37,0.033264,Co,Child,CR,CR Child
38,0.094433,Co,Child,CR,CR Child
39,0.083563,Co,Child,CR,CR Child
40,0.052282,Co,Child,CR,CR Child
41,0.086234,Co,Child,CR,CR Child
42,3.41e-06,Cd,Child,CR,CR Child
43,5.11e-06,Cd,Child,CR,CR Child
44,8.87e-06,Cd,Child,CR,CR Child
45,5.42e-06,Cd,Child,CR,CR Child
46,4.6e-06,Cd,Child,CR,CR Child
47,4.21e-06,Cd,Child,CR,CR Child
48,2.24e-06,Pb,Child,CR,CR Child
49,3.37e-06,Pb,Child,CR,CR Child
50,3.09e-06,Pb,Child,CR,CR Child
51,9.38e-06,Pb,Child,CR,CR Child
52,4.12e-06,Pb,Child,CR,CR Child
53,1.41e-05,Pb,Child,CR,CR Child
54,0.019619,Ni,Child,CR,CR Child
55,0.023052,Ni,Child,CR,CR Child
56,0.015274,Ni,Child,CR,CR Child
57,0.014207,Ni,Child,CR,CR Child
58,0.01259,Ni,Child,CR,CR Child
59,0.01685,Ni,Child,CR,CR Child
