Model,MSE,RMSE
CNN,0.022280075348822436,0.14926511765587577
RNN,0.020965251254049275,0.14479382325931336
GRU,0.015782789777749655,0.12562957365903005
LSTM,0.02185900062699218,0.14784789693124545
MA CNN,0.038745692118964545,0.19683925451739687
MA RNN,0.0959356169804597,0.30973475261981775
MA GRU,0.02113694183748409,0.145385493903223
MA LSTM,0.020533599676892427,0.14329549775513684
AE CNN,0.02444793864116533,0.15635836607347026
AE RNN,0.02128203565881117,0.1458836373923106
AE GRU,0.01535650160902216,0.12392135251449671
AE LSTM,0.027059815518379868,0.16449867938187185
MA AE CNN,0.027027419352669987,0.1644001805128875
MA AE RNN,0.05343189731804007,0.23115340645995264
MA AE GRU,0.04178280203997067,0.2044084196895291
MA AE LSTM,0.042221424501842846,0.20547852564645983
HY CNN LSTM,0.02087432375624284,0.1444794925110233
HY LSTM RNN GRU,0.018203913241362238,0.1349218782902248
HY CNN RNN GRU,0.02377601340377219,0.15419472560296021
HY CNN GRU,0.019804254660947318,0.14072759026199275
HY RNN GRU,0.031072960138460774,0.17627523972033274
HY RNN LSTM,0.01816297118078234,0.13477006782213305
MA HY CNN LSTM,0.08012146722782304,0.2830573567809589
MA HY LSTM RNN GRU,0.03434733389434011,0.18533033722070466
MA HY CNN RNN GRU,0.05588283558532229,0.23639550669444268
MA HY CNN GRU,0.026464946011838228,0.1626805028632449
MA HY RNN GRU,0.024452477713751072,0.15637288036533403
MA HY RNN LSTM,0.03364308765973503,0.1834205213702519
