ModelCat,Model,MSE,MAE,R2,RMSE
General,CNN,0.019374961964904354,0.0833019427768886,0.9785283583189501,0.13919397244458667
General,RNN,0.022788538800761073,0.08937510926690366,0.9747453780579817,0.1509587321116638
General,GRU,0.020088673564941168,0.08783101180361375,0.9777374117474236,0.14173451790210162
General,LSTM,0.02265138454079001,0.09290850231217014,0.9748973745950826,0.15050376919130634
MA,CNN,0.033915476526012185,0.11958060886710882,0.962414328310544,0.18416155007496052
MA,RNN,0.038930067454122246,0.16062980076919,0.9568570787128179,0.1973070385316303
MA,GRU,0.021638851450722238,0.09366812725240985,0.9760194799049935,0.14710150050465914
MA,LSTM,0.028230558886702412,0.11569439665724834,0.9687144446544442,0.1680195193621932
AE,CNN,0.02249307086275021,0.09438644783364403,0.9750728203365626,0.14997690109730302
AE,RNN,0.02254030459749991,0.09271230440586803,0.9750204751588203,0.15013428854695357
AE,GRU,0.02000511277537784,0.08498752815855873,0.9778300151463535,0.14143943147290236
AE,LSTM,0.023506719678752758,0.09917783147344987,0.9739494785613865,0.15331901277647453
MA AE,CNN,0.02671624607605013,0.10386568164866833,0.9703926302489371,0.16345105100931634
MA AE,RNN,0.03270947083451528,0.12872855367552902,0.9637508430412585,0.1808575982216818
MA AE,GRU,0.0213814908834251,0.09290964853846363,0.9763046909879286,0.14622411184009668
MA AE,LSTM,0.02386047075126546,0.09998222123417588,0.9735574459841334,0.15446834870375697
HY,CNN LSTM,0.02567540028322048,0.09622440390909709,0.9715461121473454,0.16023545264148156
HY,LSTM RNN GRU,0.019628465763218188,0.08415250346892408,0.9782474213688782,0.14010162655450573
HY,CNN RNN GRU,0.028816972353021213,0.09997362442107663,0.968064571903801,0.16975562539433328
HY,CNN GRU,0.02082634028203691,0.0901718165953126,0.9769199177333343,0.14431334062392467
HY,RNN GRU,0.022268804828642345,0.08956877616958485,0.9753213555302996,0.14922735951775848
HY,RNN LSTM,0.02129500640888987,0.0874267341279321,0.9764005344611472,0.14592808642920618
MA HY,CNN LSTM,0.02455658355955637,0.11671778846946028,0.9727860026741395,0.15670540373438424
MA HY,LSTM RNN GRU,0.02157784541944342,0.10313079641381692,0.9760870877612761,0.14689399381677734
MA HY,CNN RNN GRU,0.029795408193060688,0.12546905354544935,0.9669802537098722,0.17261346469224434
MA HY,CNN GRU,0.028632218106115017,0.11934069241707523,0.9682693195051542,0.16921057326927008
MA HY,RNN GRU,0.03386913756028223,0.13650580743741658,0.9624656818909962,0.18403569642947595
MA HY,RNN LSTM,0.02787251911975182,0.12571658954541717,0.9691112300312339,0.16695064875510912
