"","RC1","RC2","RC3"
"K",0.0354124458497833,0.388638183093442,0.486123637782595
"Ca",0.701289205607417,-0.04861101870599,0.037097649467649
"Ti",0.624899142832858,0.355668257968327,-0.276169172233253
"Mn",0.130761891750301,0.681838783530154,-0.112923018775834
"Fe",-0.364654405162725,0.418178073499269,0.572583198276473
"Co",0.00354347153649474,0.0108000793632791,0.711705279335372
"Cu",0.101317746772713,-0.027257377925002,-0.160117225138175
"Zn",0.78934419748729,0.317469868370272,-0.136244529856983
"As",-0.135230879564914,-0.636235089508796,0.0367126648698666
"Rb",0.488238107365291,0.511416300278305,0.40572811574028
"Sr",0.914326178749542,0.0572328349940666,-0.0211038114056136
"Y",0.683199206368035,-0.468281254909124,0.149388854018101
"Zr",0.283056864991623,-0.669255051864076,-0.237570045622627
"Nb",0.42501004438087,-0.216011244074132,0.491514426638432
"Pb",-0.0633966964017999,0.156417433212446,-0.633771493427928
