,SamplingPoint,Latitude,Longitude,HIWinterA,HIWinterC,HISummerA,HISummerC
0,Gabtoli_Dhalweshri,23.787444,90.33425,33.2439401278493,24.167887713992677,19.94465681535322,14.547411639218561
1,Gabtoli_turag,23.784639,90.336417,35.52176748155939,25.832444264566547,27.94996671997907,20.360294268424905
2,Shah Cem MirpurGhat,23.774111,90.336833,39.892726504908424,29.020934334358973,41.02659226926217,29.845069897533577
3,Hazaribag_Shampur,23.749972,90.33675,251.08491935559394,194.69566421455434,252.72696879185767,195.1635428795116
4,Rayerbazar,23.740083,90.350281,15.752619980031396,11.535783561807083,31.520481484395603,22.912389079658123
5,Kholamora Bazar,23.716889,90.358917,15.629405567326009,11.44391646017094,19.276896360900054,14.071325897728938
6,Zinzira,23.710083,90.391972,56.89962062227106,42.056750067008544,67.09374880303506,49.431484145054945
7,Sadarghat_Terminal,23.702944,90.412139,95.63122927927786,70.28696829621491,132.02879487354264,96.61244684019536
8,Postogola Bridge,23.690139,90.424083,56.07700817402407,41.0632481197558,74.67576807668236,54.37827964312576
