Location,Sample No.,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Pb
Sarankhola Range,1,0.02,1.53,0.62,0.00,0.60,1.00,0.11,0.00,0.00,1.71,0.00,1.28,0.40,1.34,1.16,0.23,0.00
Sarankhola Range,2,0.03,1.81,1.02,0.00,0.94,1.00,0.00,0.00,0.00,2.35,0.00,1.81,0.50,1.81,1.28,0.25,0.00
Sarankhola Range,3,0.23,1.50,0.61,0.00,0.47,1.00,0.13,0.00,0.00,1.00,0.00,0.83,0.31,1.59,1.08,0.76,0.00
Sarankhola Range,4,0.26,2.40,1.18,0.00,0.55,1.00,0.14,0.00,2.47,1.90,0.00,0.85,0.42,2.14,2.22,1.22,0.00
Sarankhola Range,5,0.22,1.56,1.18,0.00,0.75,1.00,0.13,0.00,1.59,0.60,0.00,0.91,0.35,1.26,1.16,1.20,0.00
Khulna Range,6,0.22,2.34,0.68,0.00,0.59,1.00,0.10,0.00,0.00,0.76,0.00,0.80,0.34,1.64,1.34,1.27,0.00
Khulna Range,7,0.23,1.75,0.71,0.00,0.50,1.00,15.67,0.00,0.00,0.73,0.41,0.80,0.30,1.91,1.90,1.34,0.00
Khulna Range,8,0.23,1.42,0.74,0.00,0.68,1.00,13.74,0.00,0.00,1.31,0.00,1.52,0.40,2.11,1.32,1.11,0.00
Khulna Range,9,0.23,1.29,0.72,0.00,0.56,1.00,11.64,0.00,0.00,1.03,0.00,0.89,0.39,1.64,1.73,0.88,0.00
Khulna Range,10,0.16,1.78,0.60,0.00,0.70,1.00,10.34,0.00,0.00,1.22,0.00,2.35,0.36,1.05,1.31,1.48,0.00
Chandpai Range,11,0.87,1.31,0.75,0.00,0.75,1.00,7.13,0.00,0.00,1.28,0.00,1.48,0.30,1.05,0.92,0.63,0.00
Chandpai Range,12,0.29,1.16,0.72,0.00,0.42,1.00,0.00,0.00,0.00,1.03,0.00,0.89,0.30,1.51,1.09,0.69,0.00
Chandpai Range,13,0.30,1.63,0.98,0.00,0.51,1.00,0.00,0.00,0.00,0.79,0.00,0.83,0.37,1.87,1.95,0.83,0.00
Chandpai Range,14,0.23,1.49,0.69,0.00,0.51,1.00,0.76,0.00,0.00,1.03,2.47,0.90,0.35,1.46,2.09,1.23,0.00
Chandpai Range,15,0.24,2.38,0.79,0.00,0.59,1.00,0.72,0.00,0.00,0.99,2.07,0.92,0.41,2.39,2.11,0.89,0.00
Satkhira Range,16,0.29,2.34,1.73,0.00,0.93,1.00,0.90,0.00,0.00,1.84,0.00,1.22,0.42,1.18,1.65,1.07,0.15
Satkhira Range,17,0.16,1.54,0.79,0.00,0.88,1.00,1.05,0.00,0.00,1.27,0.00,0.95,0.40,1.64,2.56,0.78,0.27
Satkhira Range,18,0.20,1.24,1.09,0.00,0.36,1.00,1.31,0.00,0.00,1.25,0.00,0.99,0.42,1.63,1.46,1.10,0.19
Satkhira Range,19,0.35,2.89,1.64,0.00,0.93,1.00,4.34,0.00,0.00,3.44,0.00,2.38,1.21,3.50,2.14,1.55,0.00
Satkhira Range,20,0.34,2.06,1.14,0.00,0.32,1.00,3.67,0.00,0.00,2.31,0.00,1.82,0.62,2.15,1.80,1.43,0.00
