"","K","Ca","Ti","Mn","Fe","Co","Cu","Zn","As","Rb","Sr","Y","Zr","Nb","Pb"
"K",1,0.034544772300837,0.179056438776889,0.220179696348735,0.523831186159049,0.220799258829663,-0.0364006937723949,0.0671172303508251,-0.0723165737213262,0.219605625936301,0.0237027343777979,-0.0477924680882706,-0.164120519585737,0.121897897459488,-0.13272219472687
"Ca",0.034544772300837,1,0.495271871396262,0.21035271467245,-0.0887312746324171,-0.143006456838297,0.20289073512019,0.376886061131807,0.0142608450591752,0.199063198943657,0.451972483092423,0.383835372188295,0.24918348290505,0.469664367582777,-0.149156544801973
"Ti",0.179056438776889,0.495271871396262,1,0.344832285563928,-0.00609244026347708,-0.237186442809291,0.306835091906864,0.483823311868757,-0.2619217709126,0.155926054325681,0.495988838919232,0.149963251126943,0.109546899666745,0.294413698374475,0.274084485227831
"Mn",0.220179696348735,0.21035271467245,0.344832285563928,1,0.0935392086519377,0.0824173987813637,0.0638012842036946,0.170485136839689,-0.231358847555566,0.342767868475003,0.0990878790088052,-0.308785514437755,-0.224812498831823,-0.09894574269996,0.18241293181777
"Fe",0.523831186159049,-0.0887312746324171,-0.00609244026347708,0.0935392086519377,1,0.204368590166247,0.0139245588160017,-0.32743327737111,-0.189421089400455,0.083958877822287,-0.382331631175616,-0.376568382896756,-0.443538045152184,0.223825110639098,-0.201254652231165
"Co",0.220799258829663,-0.143006456838297,-0.237186442809291,0.0824173987813637,0.204368590166247,1,-0.225003244650207,-0.0804799936936165,-0.111721369262146,0.349468415778975,-0.0327665152511356,0.102197878292126,0.00235056943521725,0.353282109514351,-0.209015787122489
"Cu",-0.0364006937723949,0.20289073512019,0.306835091906864,0.0638012842036946,0.0139245588160017,-0.225003244650207,1,-0.0549081224644589,-0.120345293673769,-0.229951389368826,-0.0760699215952924,7.06110705643449e-05,0.109305458689104,0.199128175692283,-0.136300968516991
"Zn",0.0671172303508251,0.376886061131807,0.483823311868757,0.170485136839689,-0.32743327737111,-0.0804799936936165,-0.0549081224644589,1,-0.270914532713058,0.622338309499419,0.801696207789414,0.388395982519028,-0.0317585940460298,-0.0325305810350122,0.00616934895720896
"As",-0.0723165737213262,0.0142608450591752,-0.2619217709126,-0.231358847555566,-0.189421089400455,-0.111721369262146,-0.120345293673769,-0.270914532713058,1,-0.275744084062189,-0.159722960045715,0.0523587822985909,0.399574586659829,0.0580590571247244,-0.149786612750779
"Rb",0.219605625936301,0.199063198943657,0.155926054325681,0.342767868475003,0.083958877822287,0.349468415778975,-0.229951389368826,0.622338309499419,-0.275744084062189,1,0.516223729745433,0.0536690757390574,-0.329123900988366,0.235736242254601,-0.189585740029898
"Sr",0.0237027343777979,0.451972483092423,0.495988838919232,0.0990878790088052,-0.382331631175616,-0.0327665152511356,-0.0760699215952924,0.801696207789414,-0.159722960045715,0.516223729745433,1,0.678427176827106,0.129663504622489,0.24516245241618,-0.0676030120870574
"Y",-0.0477924680882706,0.383835372188295,0.149963251126943,-0.308785514437755,-0.376568382896756,0.102197878292126,7.06110705643449e-05,0.388395982519028,0.0523587822985909,0.0536690757390574,0.678427176827106,1,0.332763487486927,0.25109166855556,-0.276864209414439
"Zr",-0.164120519585737,0.24918348290505,0.109546899666745,-0.224812498831823,-0.443538045152184,0.00235056943521725,0.109305458689104,-0.0317585940460298,0.399574586659829,-0.329123900988366,0.129663504622489,0.332763487486927,1,0.311587727714733,0.310549228691252
"Nb",0.121897897459488,0.469664367582777,0.294413698374475,-0.09894574269996,0.223825110639098,0.353282109514351,0.199128175692283,-0.0325305810350122,0.0580590571247244,0.235736242254601,0.24516245241618,0.25109166855556,0.311587727714733,1,-0.0849888670245743
"Pb",-0.13272219472687,-0.149156544801973,0.274084485227831,0.18241293181777,-0.201254652231165,-0.209015787122489,-0.136300968516991,0.00616934895720896,-0.149786612750779,-0.189585740029898,-0.0676030120870574,-0.276864209414439,0.310549228691252,-0.0849888670245743,1
