Location,Sample No.,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Pb
Sarankhola Range,1.00,0.03,1.57,0.64,0.00,0.62,1.02,0.11,0.00,0.00,1.75,0.00,1.31,0.40,1.37,1.19,0.24,0.00
Sarankhola Range,2.00,0.03,1.45,0.82,0.00,0.76,0.80,MDL,0.00,0.00,1.89,0.00,1.46,0.40,1.45,1.03,0.20,0.00
Sarankhola Range,3.00,0.24,1.55,0.63,0.00,0.49,1.03,0.13,0.00,0.00,1.03,0.00,0.85,0.32,1.64,1.12,0.79,0.00
Sarankhola Range,4.00,0.23,2.16,1.07,0.00,0.50,0.90,0.12,0.00,2.22,1.71,0.00,0.76,0.38,1.93,2.00,1.10,0.00
Sarankhola Range,5.00,0.24,1.73,1.31,0.00,0.84,1.11,0.15,0.00,1.77,0.67,0.00,1.01,0.39,1.39,1.29,1.33,0.00
Khulna Range,6.00,0.23,2.45,0.72,0.00,0.62,1.05,0.10,0.00,0.00,0.80,0.00,0.84,0.36,1.72,1.41,1.33,0.00
Khulna Range,7.00,0.24,1.77,0.72,0.00,0.51,1.01,15.87,0.00,0.00,0.74,0.42,0.82,0.31,1.93,1.93,1.36,0.00
Khulna Range,8.00,0.24,1.47,0.77,0.00,0.71,1.04,14.24,0.00,0.00,1.35,0.00,1.58,0.41,2.19,1.37,1.15,0.00
Khulna Range,9.00,0.22,1.24,0.69,0.00,0.54,0.96,11.17,0.00,0.00,0.99,0.00,0.85,0.38,1.57,1.66,0.85,0.00
Khulna Range,10.00,0.17,1.84,0.62,0.00,0.72,1.03,10.67,0.00,0.00,1.26,0.00,2.43,0.37,1.09,1.35,1.53,0.00
Chandpai Range,11.00,1.01,1.52,0.87,0.00,0.88,1.16,8.28,0.00,0.00,1.48,0.00,1.72,0.35,1.22,1.07,0.73,0.00
Chandpai Range,12.00,0.33,1.34,0.83,0.00,0.49,1.15,MDL,0.00,0.00,1.18,0.00,1.02,0.35,1.73,1.25,0.79,0.00
Chandpai Range,13.00,0.29,1.55,0.93,0.00,0.49,0.95,MDL,0.00,0.00,0.75,0.00,0.79,0.35,1.78,1.85,0.79,0.00
Chandpai Range,14.00,0.22,1.42,0.66,0.00,0.49,0.95,0.73,0.00,0.00,0.98,2.36,0.86,0.34,1.39,2.00,1.17,0.00
Chandpai Range,15.00,0.22,2.15,0.72,0.00,0.53,0.91,0.65,0.00,0.00,0.90,1.87,0.83,0.38,2.16,1.91,0.81,0.00
Satkhira Range,16.00,0.30,2.41,1.79,0.00,0.96,1.03,0.93,0.00,0.00,1.89,0.00,1.26,0.44,1.22,1.70,1.11,0.16
Satkhira Range,17.00,0.14,1.35,0.69,0.00,0.78,0.88,0.92,0.00,0.00,1.12,0.00,0.84,0.35,1.44,2.26,0.69,0.24
Satkhira Range,18.00,0.19,1.17,1.03,0.00,0.34,0.95,1.24,0.00,0.00,1.19,0.00,0.94,0.40,1.54,1.38,1.04,0.18
Satkhira Range,19.00,0.29,2.36,1.34,0.00,0.76,0.82,3.54,0.00,0.00,2.80,0.00,1.94,0.99,2.86,1.74,1.26,0.00
Satkhira Range,20.00,0.35,2.11,1.16,0.00,0.32,1.02,3.75,0.00,0.00,2.36,0.00,1.86,0.63,2.20,1.84,1.46,0.00
