Model,MSE,RMSE
cnn,92.69065043263319,9.627598373043673
rnn,521.3561225632518,22.833224094797735
gru,544.6331355339787,23.337376363549925
lstm,406.49805518386023,20.161796923485273
mvg_cnn,82.2103340943484,9.066991457718949
mvg_rnn,596.0032809328045,24.41317842749699
mvg_gru,535.5213407193511,23.141334030676603
mvg_lstm,960.1159015460307,30.985737066367015
auto_cnn,1122.4959153725442,33.50367017764687
auto_rnn,573.5812478358018,23.949556318140882
auto_gru,590.7944749298183,24.306264108863342
auto_lstm,687.4895623974629,26.22002216622753
mvg_auto_cnn,1123.632195829848,33.52062344035158
mvg_auto_rnn,533.0657607229302,23.088216923853825
mvg_auto_gru,530.8597572292274,23.040394033723196
mvg_auto_lstm,563.6086302989893,23.740442925501394
hybrid_cnn_lstm,731.403294727446,27.044468837961045
hybrid_lstm_rnn_gru,417.0197374112269,20.42106112353682
hybrid_cnn_rnn_gru,480.71633388410635,21.925244214925094
hybrid_cnn_gru,665.9258127019831,25.805538411395005
hybrid_rnn_gru,628.5414020505067,25.070727992032992
hybrid_rnn_lstm,711.31224882415,26.67043773214362
mavg_hybrid_cnn_lstm,692.926394401961,26.323495102321825
mavg_hybrid_lstm_rnn_gru,474.0629437114099,21.772986559298886
mavg_hybrid_cnn_rnn_gru,622.1544156784677,24.9430233868805
mavg_hybrid_cnn_gru,680.603053466753,26.088370080684477
mavg_hybrid_rnn_gru,741.1372432040649,27.22383593845777
mavg_hybrid_rnn_lstm,715.8295904956366,26.75499187993965
