Param,Location,y
Temperature ('C),S1,21.5
Temperature ('C),S1,21.21
Temperature ('C),S1,21.21
Temperature ('C),S1,21.26
Temperature ('C),S1,21.09
Temperature ('C),S1,21.21
Temperature ('C),S1,21.45
Temperature ('C),S1,21.23
Temperature ('C),S1,21.02
Temperature ('C),S1,21.25
Temperature ('C),S1,21.33
Temperature ('C),S1,21.07
Temperature ('C),S1,21.48
Temperature ('C),S1,21.46
Temperature ('C),S1,21.17
Temperature ('C),S1,21.0
Temperature ('C),S1,20.89
Temperature ('C),S1,20.55
Temperature ('C),S1,20.84
Temperature ('C),S1,20.95
Temperature ('C),S1,20.73
Temperature ('C),S1,20.77
Temperature ('C),S1,20.71
Temperature ('C),S1,20.83
Temperature ('C),S1,20.78
Temperature ('C),S1,20.95
Temperature ('C),S1,20.65
Temperature ('C),S1,20.72
Temperature ('C),S1,20.81
Temperature ('C),S1,20.67
Temperature ('C),S1,20.98
Temperature ('C),S1,20.5
Temperature ('C),S1,20.36
Temperature ('C),S1,20.47
Temperature ('C),S1,20.43
Temperature ('C),S1,20.38
Temperature ('C),S1,20.38
Temperature ('C),S1,20.46
Temperature ('C),S1,20.41
Temperature ('C),S1,20.48
Temperature ('C),S1,20.35
Temperature ('C),S1,20.34
Temperature ('C),S1,20.39
Temperature ('C),S1,20.39
Temperature ('C),S1,20.3
Temperature ('C),S1,20.34
Temperature ('C),S1,20.3
Temperature ('C),S1,20.92
Temperature ('C),S1,20.95
Temperature ('C),S1,20.78
Temperature ('C),S1,20.56
Temperature ('C),S1,20.71
Temperature ('C),S1,20.4
Temperature ('C),S1,20.38
Temperature ('C),S1,20.46
Temperature ('C),S1,20.66
Temperature ('C),S1,20.96
Temperature ('C),S1,20.36
Temperature ('C),S1,20.8
Temperature ('C),S1,20.93
Temperature ('C),S1,20.32
Temperature ('C),S1,20.32
Temperature ('C),S1,21.0
Temperature ('C),S1,21.25
Temperature ('C),S1,21.53
Temperature ('C),S1,21.19
Temperature ('C),S1,21.52
Temperature ('C),S1,21.24
Temperature ('C),S1,21.34
Temperature ('C),S1,21.09
Temperature ('C),S1,21.03
Temperature ('C),S1,21.67
Temperature ('C),S1,21.12
Temperature ('C),S1,21.29
Temperature ('C),S1,21.68
Temperature ('C),S1,21.8
Temperature ('C),S1,23.51
Temperature ('C),S1,22.55
Temperature ('C),S1,21.86
Temperature ('C),S1,24.44
Temperature ('C),S1,23.3
Temperature ('C),S1,22.61
Temperature ('C),S1,24.67
Temperature ('C),S1,23.96
Temperature ('C),S1,23.82
Temperature ('C),S1,23.11
Temperature ('C),S1,22.52
Temperature ('C),S1,23.49
Temperature ('C),S1,22.76
Temperature ('C),S1,22.53
Temperature ('C),S1,24.9
Temperature ('C),S1,26.05
Temperature ('C),S1,26.28
Temperature ('C),S1,25.43
Temperature ('C),S1,26.11
Temperature ('C),S1,26.75
Temperature ('C),S1,26.75
Temperature ('C),S1,26.65
Temperature ('C),S1,25.93
Temperature ('C),S1,25.15
Temperature ('C),S1,25.4
Temperature ('C),S1,25.23
Temperature ('C),S1,26.1
Temperature ('C),S1,25.86
Temperature ('C),S1,26.4
Temperature ('C),S1,26.8
Temperature ('C),S1,28.57
Temperature ('C),S1,28.03
Temperature ('C),S1,28.82
Temperature ('C),S1,29.08
Temperature ('C),S1,28.46
Temperature ('C),S1,27.26
Temperature ('C),S1,28.17
Temperature ('C),S1,27.1
Temperature ('C),S1,28.38
Temperature ('C),S1,27.32
Temperature ('C),S1,29.04
Temperature ('C),S1,28.76
Temperature ('C),S1,27.4
Temperature ('C),S1,28.28
Temperature ('C),S1,28.14
Temperature ('C),S1,29.1
Temperature ('C),S1,29.56
Temperature ('C),S1,31.0
