Metrics,ModelCat,Model,y
MSE,General,CNN,15.486858585270381
MSE,General,RNN,0.021303447333975125
MSE,General,GRU,0.4770597458543659
MSE,General,LSTM,0.016699353768964385
MSE,MA,CNN,2.2708240381888114
MSE,MA,RNN,0.048927102752967
MSE,MA,GRU,0.12641036106724757
MSE,MA,LSTM,0.5272739451182981
MSE,AE,CNN,0.9334371632465268
MSE,AE,RNN,0.023533273852943824
MSE,AE,GRU,0.020579245601426606
MSE,AE,LSTM,0.015207376568997658
MSE,MA AE,CNN,2.050141896354667
MSE,MA AE,RNN,0.11523942352502724
MSE,MA AE,GRU,0.11796262431972315
MSE,MA AE,LSTM,0.3266640306324446
MSE,HY,CNN LSTM,0.9179576837836021
MSE,HY,LSTM RNN GRU,0.016831262114787866
MSE,HY,CNN RNN GRU,0.8719345401337634
MSE,HY,CNN GRU,0.8673419097802513
MSE,HY,RNN GRU,0.018935548723036814
MSE,HY,RNN LSTM,0.018194835746879603
MSE,MA HY,CNN LSTM,0.8873484572800465
MSE,MA HY,LSTM RNN GRU,0.14971207277706952
MSE,MA HY,CNN RNN GRU,0.8319612876614875
MSE,MA HY,CNN GRU,0.8816905439624344
MSE,MA HY,RNN GRU,0.13127916893337815
MSE,MA HY,RNN LSTM,0.14484963218137034
RMSE,General,CNN,3.93533462176603
RMSE,General,RNN,0.14595700508702938
RMSE,General,GRU,0.6906951178735563
RMSE,General,LSTM,0.12922597946606706
RMSE,MA,CNN,1.5069253591962712
RMSE,MA,RNN,0.2211947168287864
RMSE,MA,GRU,0.35554234778328103
RMSE,MA,LSTM,0.7261363130420473
RMSE,AE,CNN,0.9661455186702088
RMSE,AE,RNN,0.15340558612040117
RMSE,AE,GRU,0.14345468135068512
RMSE,AE,LSTM,0.12331819236835115
RMSE,MA AE,CNN,1.4318316578266688
RMSE,MA AE,RNN,0.3394693263389599
RMSE,MA AE,GRU,0.34345687403183994
RMSE,MA AE,LSTM,0.5715453005951887
RMSE,HY,CNN LSTM,0.9581010822369433
RMSE,HY,LSTM RNN GRU,0.12973535414368692
RMSE,HY,CNN RNN GRU,0.9337743518290504
RMSE,HY,CNN GRU,0.9313119293664456
RMSE,HY,RNN GRU,0.13760649956683302
RMSE,HY,RNN LSTM,0.1348882342789007
RMSE,MA HY,CNN LSTM,0.941991750112519
RMSE,MA HY,LSTM RNN GRU,0.3869264436260069
RMSE,MA HY,CNN RNN GRU,0.9121191192281234
RMSE,MA HY,CNN GRU,0.9389837825875559
RMSE,MA HY,RNN GRU,0.3623246733709673
RMSE,MA HY,RNN LSTM,0.3805911614598667
MAE,General,CNN,2.498511988303831
MAE,General,RNN,0.11079904489665446
MAE,General,GRU,0.568991814189487
MAE,General,LSTM,0.09771468109554714
MAE,MA,CNN,1.1871138865003983
MAE,MA,RNN,0.18049827216400038
MAE,MA,GRU,0.29157514522473016
MAE,MA,LSTM,0.5962922239965862
MAE,AE,CNN,0.8516123283902803
MAE,AE,RNN,0.11761012720875441
MAE,AE,GRU,0.10834075079014936
MAE,AE,LSTM,0.09657274225726722
MAE,MA AE,CNN,1.1293708025871052
MAE,MA AE,RNN,0.289493571801318
MAE,MA AE,GRU,0.26905569384495415
MAE,MA AE,LSTM,0.47159313301245365
MAE,HY,CNN LSTM,0.7521024032433827
MAE,HY,LSTM RNN GRU,0.10699662990040247
MAE,HY,CNN RNN GRU,0.7738826272222731
MAE,HY,CNN GRU,0.7756465770138634
MAE,HY,RNN GRU,0.11025767157785592
MAE,HY,RNN LSTM,0.10767075122437542
MAE,MA HY,CNN LSTM,0.7688132158252928
MAE,MA HY,LSTM RNN GRU,0.2723857623669836
MAE,MA HY,CNN RNN GRU,0.791137019528283
MAE,MA HY,CNN GRU,0.7765781711207496
MAE,MA HY,RNN GRU,0.3099218089050717
MAE,MA HY,RNN LSTM,0.26984062916702695
R2,General,CNN,-17.504871816855065
R2,General,RNN,0.9745450273209524
R2,General,GRU,0.4299728768484541
R2,General,LSTM,0.9800463470872711
R2,MA,CNN,-1.713352583026993
R2,MA,RNN,0.9415381912459077
R2,MA,GRU,0.8489553246068501
R2,MA,LSTM,0.36997314768137457
R2,AE,CNN,-0.11534143350378034
R2,AE,RNN,0.971880661679583
R2,AE,GRU,0.9754103584116036
R2,AE,LSTM,0.9818290744678461
R2,MA AE,CNN,-1.4496648425840153
R2,MA AE,RNN,0.8623032070166171
R2,MA AE,GRU,0.8590493204159263
R2,MA AE,LSTM,0.6096770703530598
R2,HY,CNN LSTM,-0.09684537882129596
R2,HY,LSTM RNN GRU,0.9798887330032012
R2,HY,CNN RNN GRU,-0.041853440387830565
R2,HY,CNN GRU,-0.036365817734985484
R2,HY,RNN GRU,0.9773743719572104
R2,HY,RNN LSTM,0.9782594319325051
R2,MA HY,CNN LSTM,-0.060271156247835966
R2,MA HY,LSTM RNN GRU,0.8211126742766096
R2,MA HY,CNN RNN GRU,0.005909629768035662
R2,MA HY,CNN GRU,-0.053510652810885295
R2,MA HY,RNN GRU,0.8431377041405966
R2,MA HY,RNN LSTM,0.8269226866458105
