ModelCat,Model,MSE,MAE,R2,RMSE
General,CNN,15.486858585270381,2.498511988303831,-17.504871816855065,3.93533462176603
General,RNN,0.021303447333975125,0.11079904489665446,0.9745450273209524,0.14595700508702938
General,GRU,0.4770597458543659,0.568991814189487,0.4299728768484541,0.6906951178735563
General,LSTM,0.016699353768964385,0.09771468109554714,0.9800463470872711,0.12922597946606706
MA,CNN,2.2708240381888114,1.1871138865003983,-1.713352583026993,1.5069253591962712
MA,RNN,0.048927102752967,0.18049827216400038,0.9415381912459077,0.2211947168287864
MA,GRU,0.12641036106724757,0.29157514522473016,0.8489553246068501,0.35554234778328103
MA,LSTM,0.5272739451182981,0.5962922239965862,0.36997314768137457,0.7261363130420473
AE,CNN,0.9334371632465268,0.8516123283902803,-0.11534143350378034,0.9661455186702088
AE,RNN,0.023533273852943824,0.11761012720875441,0.971880661679583,0.15340558612040117
AE,GRU,0.020579245601426606,0.10834075079014936,0.9754103584116036,0.14345468135068512
AE,LSTM,0.015207376568997658,0.09657274225726722,0.9818290744678461,0.12331819236835115
MA AE,CNN,2.050141896354667,1.1293708025871052,-1.4496648425840153,1.4318316578266688
MA AE,RNN,0.11523942352502724,0.289493571801318,0.8623032070166171,0.3394693263389599
MA AE,GRU,0.11796262431972315,0.26905569384495415,0.8590493204159263,0.34345687403183994
MA AE,LSTM,0.3266640306324446,0.47159313301245365,0.6096770703530598,0.5715453005951887
HY,CNN LSTM,0.9179576837836021,0.7521024032433827,-0.09684537882129596,0.9581010822369433
HY,LSTM RNN GRU,0.016831262114787866,0.10699662990040247,0.9798887330032012,0.12973535414368692
HY,CNN RNN GRU,0.8719345401337634,0.7738826272222731,-0.041853440387830565,0.9337743518290504
HY,CNN GRU,0.8673419097802513,0.7756465770138634,-0.036365817734985484,0.9313119293664456
HY,RNN GRU,0.018935548723036814,0.11025767157785592,0.9773743719572104,0.13760649956683302
HY,RNN LSTM,0.018194835746879603,0.10767075122437542,0.9782594319325051,0.1348882342789007
MA HY,CNN LSTM,0.8873484572800465,0.7688132158252928,-0.060271156247835966,0.941991750112519
MA HY,LSTM RNN GRU,0.14971207277706952,0.2723857623669836,0.8211126742766096,0.3869264436260069
MA HY,CNN RNN GRU,0.8319612876614875,0.791137019528283,0.005909629768035662,0.9121191192281234
MA HY,CNN GRU,0.8816905439624344,0.7765781711207496,-0.053510652810885295,0.9389837825875559
MA HY,RNN GRU,0.13127916893337815,0.3099218089050717,0.8431377041405966,0.3623246733709673
MA HY,RNN LSTM,0.14484963218137034,0.26984062916702695,0.8269226866458105,0.3805911614598667
