Cr,Mn,Fe,Co,Ni,Cu,Zn,Cd,Pb
7.11,250.3,959.6,25.1,67.32,106.6,177,5.23,1.54
3.37,195.8,197.97,19.8,79.1,189,237.6,7.84,2.31
2.86,296.4,916.6,56.21,52.41,184.1,83.01,13.61,2.12
9.92,840.3,279.9,49.74,48.75,179.2,55.19,8.32,6.44
2.49,749.5,748.3,31.12,43.2,89.3,95.59,7.06,2.83
3.09,653,764.7,51.33,57.82,75.21,91.5,6.47,9.7
