Model,MSE,MAE,R2,RMSE
cnn,2.5451439461103718,1.3321289804537002,0.9085210265739564,1.595350728244536
rnn,816.1029849421082,28.00706082670656,-28.33282551131449,28.56751625434224
gru,938.7586366329863,30.120125644892862,-32.74138288141199,30.63916834107914
lstm,1049.4286077274437,31.956694410337164,-36.71914428083417,32.39488551804812
mvg_cnn,46.07846912708623,6.658990479560748,-0.6561778595004053,6.7881123390148925
mvg_rnn,921.171708051923,29.856129592477462,-32.10926375323005,30.350810665481788
mvg_gru,987.0978613373292,30.957174035033137,-34.47881807006688,31.418113586549545
mvg_lstm,877.3377379453465,29.10887272887034,-30.533758920717286,29.61988754106515
auto_cnn,880.4691052085241,29.302432816387856,-30.646308257305176,29.672699661616974
auto_rnn,752.3060277801958,26.836336460897368,-26.03979994087631,27.428197676482423
auto_gru,823.8558899457405,28.19782439819754,-28.611484717166405,28.702889923241884
auto_lstm,1013.1890125178676,31.37788101914811,-35.41660067727343,31.830630099290644
mvg_auto_cnn,0.71885494392767,0.5806567915824993,0.974162517442977,0.8478531381835359
mvg_auto_rnn,1039.9285029638816,31.80041410504955,-36.37768625346457,32.24792245965438
mvg_auto_gru,1077.1466908933423,32.37862073891784,-37.71540297859041,32.81991302385401
mvg_auto_lstm,1071.888537760741,32.29989731644931,-37.526411526290666,32.73970888326194
hybrid_cnn_lstm,741.634727316004,26.716722924480703,-25.65624614892792,27.23297132734517
hybrid_lstm_rnn_gru,494.38742393565855,21.600376767720263,-16.769546624463885,22.234824576228583
hybrid_cnn_rnn_gru,505.3789856802287,21.85259595479051,-17.164611424739288,22.480635793505233
hybrid_cnn_gru,692.1655923671572,25.77600704976957,-23.878199100425665,26.30904012629798
hybrid_rnn_gru,795.8866926770115,27.709119416328328,-27.606200337238107,28.211463852076367
hybrid_rnn_lstm,842.179999966818,28.53237932518737,-29.270100028978458,29.02033769560268
mavg_hybrid_cnn_lstm,737.7016471137808,26.64370552324269,-25.514881201828747,27.160663598553345
mavg_hybrid_lstm_rnn_gru,490.84746567734265,21.51845323066189,-16.64231148401665,22.155077649995782
mavg_hybrid_cnn_rnn_gru,495.9138506441708,21.638067439876192,-16.824410298684825,22.26912325719562
mavg_hybrid_cnn_gru,692.6952590709193,25.78326814965026,-23.89723667446629,26.31910445039723
mavg_hybrid_rnn_gru,704.259634458461,26.006670669398897,-24.312889859969786,26.537890542740225
mavg_hybrid_rnn_lstm,795.472941628178,27.707569284047167,-27.591329067870774,28.204129868304356
