Model,MSE,RMSE
cnn,2.5451439461103718,1.595350728244536
rnn,816.1029849421082,28.56751625434224
gru,938.7586366329863,30.63916834107914
lstm,1049.4286077274437,32.39488551804812
mvg_cnn,46.07846912708623,6.7881123390148925
mvg_rnn,921.171708051923,30.350810665481788
mvg_gru,987.0978613373292,31.418113586549545
mvg_lstm,877.3377379453465,29.61988754106515
auto_cnn,880.4691052085241,29.672699661616974
auto_rnn,752.3060277801958,27.428197676482423
auto_gru,823.8558899457405,28.702889923241884
auto_lstm,1013.1890125178676,31.830630099290644
mvg_auto_cnn,5.31054318371835,2.3044615821745325
mvg_auto_rnn,1039.9285029638816,32.24792245965438
mvg_auto_gru,1077.1466908933423,32.81991302385401
mvg_auto_lstm,1071.888537760741,32.73970888326194
hybrid_cnn_lstm,741.634727316004,27.23297132734517
hybrid_lstm_rnn_gru,494.38742393565855,22.234824576228583
hybrid_cnn_rnn_gru,505.3789856802287,22.480635793505233
hybrid_cnn_gru,692.1655923671572,26.30904012629798
hybrid_rnn_gru,795.8866926770115,28.211463852076367
hybrid_rnn_lstm,842.179999966818,29.02033769560268
mavg_hybrid_cnn_lstm,737.7016471137808,27.160663598553345
mavg_hybrid_lstm_rnn_gru,490.84746567734265,22.155077649995782
mavg_hybrid_cnn_rnn_gru,495.9138506441708,22.26912325719562
mavg_hybrid_cnn_gru,692.6952590709193,26.31910445039723
mavg_hybrid_rnn_gru,704.259634458461,26.537890542740225
mavg_hybrid_rnn_lstm,795.472941628178,28.204129868304356
