Model,MSE,RMSE
cnn,0.024925752232472582,0.1578789163646387
rnn,0.07753994476708378,0.27845995181907895
gru,0.05733000959259846,0.23943685930240244
lstm,0.05258231489592151,0.22930834022320581
mvg_cnn,0.5027962032080919,0.7090812387929128
mvg_rnn,0.08479527891982103,0.29119628933044633
mvg_gru,0.052674552544951875,0.22950937354485518
mvg_lstm,0.059810551638327526,0.2445619586900782
auto_cnn,0.02797433227579324,0.16725529072586384
auto_rnn,0.037332198497194644,0.19321541992603655
auto_gru,0.06705161521374027,0.25894326639968895
auto_lstm,0.05167100880877175,0.22731257952161765
mvg_auto_cnn,0.09852260788168032,0.313883111813427
mvg_auto_rnn,0.08184964067368768,0.2860937620321137
mvg_auto_gru,3.0574441045550533,1.7485548617515703
mvg_auto_lstm,2.5290558811280763,1.59030056314147
hybrid_cnn_lstm,0.030103426614670168,0.1735033907872413
hybrid_lstm_rnn_gru,0.032574918887899144,0.18048523177229528
hybrid_cnn_rnn_gru,0.029110852922861637,0.17061902860719153
hybrid_cnn_gru,0.026861951498712688,0.16389616071986765
hybrid_rnn_gru,0.042189049734670164,0.20539973158373445
hybrid_rnn_lstm,0.05209455593351012,0.22824231845455417
mavg_hybrid_cnn_lstm,0.04192612479279605,0.20475869894291684
mavg_hybrid_lstm_rnn_gru,0.046948013930998,0.21667490378675144
mavg_hybrid_cnn_rnn_gru,0.040225379709456124,0.20056265781410088
mavg_hybrid_cnn_gru,0.03723595561218429,0.19296620329006914
mavg_hybrid_rnn_gru,0.06475316898994712,0.25446643981072853
mavg_hybrid_rnn_lstm,0.05701750089887321,0.23878337651284104
