,CdW,CdR,SrW,SrR,FeW,FeR,HgW,HgR,CoW,CoR,NiW,NiR,MnW,MnR,CuW,CuR,CrW,CrR,PbW,PbR,AsW,AsR
0,3.515838140066336,3.1026150664828864,-0.12261928666395569,-0.28052183256263485,1.0188930928477304,0.39133971997990963,4.280956313831056,4.058893689053568,4.500478342943971,3.626782676415783,3.2818858009320016,2.318438664661409,1.4243846715380966,0.30337675338954656,3.5396533389466494,2.658939508523957,3.4532763035665353,1.1617961859387906,3.332076050263445,3.1214405357930524,2.4643582997172238,2.4567085360845295
1,3.4229254087091565,2.967263213588,-0.23132554610645567,-0.5337371773659829,0.6407050526481527,0.8630481127959551,4.280956313831056,4.055495112591704,4.469803302709736,3.580240090478753,3.2307377521460703,2.2105518885520072,1.7059205776245017,0.6298546874833533,3.523380130479749,2.6217358767232573,3.463880858797365,1.2166382566651486,3.818225007276522,3.1830181830023037,2.686750721053672,2.5138770594068975
2,3.531974195873213,3.1133414730759448,-0.088130910278665,-0.10202093694050876,0.9248484850760447,1.0494612370268366,4.316145742293356,4.0891258904729835,4.514573172829758,3.4043902550793352,3.2700130834589336,2.2667746294574074,1.7457233683891502,0.833543670141393,3.5329854466807546,2.6481495919216624,3.7900290458973216,2.4525122046975065,5.022106668120349,3.570089224239626,4.04998304283738,2.79827914301877
3,3.466318004222537,3.006919413939791,0.03692656899835741,-0.30179044931628624,0.6155304390439249,0.959944319300913,4.312277924853643,4.0891258904729835,4.508549385201988,3.69389687227432,3.260138335523818,2.2888394364022915,1.6486529155817837,0.6716419000998403,3.528824954054971,2.628613507931652,3.7321884539043344,2.2756344426134274,4.9483443260278985,3.271486970864618,4.019200812062045,2.6988863883882646
4,3.3303403347035623,2.809994803930308,-0.4843585597827505,-0.5936797178222651,0.5345445937349328,0.7363033517672061,4.278975949702815,4.055495112591704,4.467734922368507,3.355480654598389,3.226513166284345,2.202869506060491,1.5767460650075609,0.5086698276823169,3.5216334379906797,2.610385097601063,3.699522264984012,2.178994954988112,4.911033568159273,3.126532405928932,4.0137796876339,2.6967411165567077
5,3.4432343911094963,2.993047239358233,-0.45476377759445463,-0.4681488357384062,1.063502942306158,1.201528306660491,4.3045110418099535,4.065666917648994,4.494395290892128,3.537028023657454,3.2809373384698146,2.328333982536141,1.7500506294861409,0.8697752419250934,3.545932566223061,2.8029027806509275,4.0414605453337815,3.079647144584919,5.0526000144478695,3.67633685374189,4.119773212133146,2.9803807267196967
6,3.682809824119301,3.2459792416540636,0.3368123319733417,0.41068547473913686,1.59512748015238,0.5752930751326414,4.339137384919585,4.092446248764595,4.5423563293432965,3.69389687227432,3.2927762138241197,2.3177029711009025,1.4621880772173403,0.3724048774437627,3.7767143297177572,3.309712626268426,3.804513292143657,2.4719645673636794,4.995927838501464,3.5392383619911754,4.025275326471729,2.720165462068038
7,3.825321468587053,3.340306624202217,0.5598090234928179,0.4994296865692164,0.32908009510683556,0.537931404722083,4.346720556338649,4.102361717629678,4.546282032557096,3.6359136881679115,3.2970321990629508,2.3524800698678434,1.507996615109234,0.3295398695985363,3.6158188549335923,2.76178586151407,3.798432376751478,2.5794930316681244,4.984714434621652,3.498578194821547,4.027294494108381,2.734876245443479
8,4.052806359174653,3.307054818405832,0.6270879763938327,0.6060521061030109,2.0480459108796323,0.38188603271327454,5.002402490215305,4.1509418980747395,4.657531126671802,3.8589561185448167,3.331929018591828,2.4180151990787393,1.775120795192175,0.29011509254811646,3.6205864104518777,2.8527039092324773,3.594206344964776,1.7973235676513153,4.903302974392286,3.0922421395376585,4.002875941515165,2.6553628753243785
9,4.273018494406416,3.6774937864750123,0.6476982560691188,0.6547079120471273,2.3631285905543447,0.24668410626972934,5.524398058683074,4.341595128343439,4.957885126103778,4.507483748043438,3.4222410972054704,2.620494442817264,2.496339248291899,0.22401734718451904,3.715479594154984,3.064991023965567,3.5528119771174502,1.6399799787973603,4.896100855972982,3.057116970798361,3.9915444691591793,2.6330986211058947
10,4.1115780392602534,3.6975913558320617,0.5813958857009638,0.6583835701905256,1.7078192485066896,0.9716956596690403,4.748461233004035,4.1761975984578426,4.691605060766331,4.00705475753395,3.3527876234894927,2.480702269007034,1.5965994901730103,0.6754195064965534,3.847706479771707,3.3085710277590947,4.2510617641677175,3.5011860514331965,5.068873095444018,3.72973402493513,4.176065561467129,3.1404740488360177
11,3.418197840172172,2.9601504873934337,-0.30202853744965746,-0.5506109959303791,0.47225143842250844,0.6970914302062727,4.30061186365027,4.065666917648994,4.4635892441109535,3.3499424710569587,3.2063197749506593,2.118648519131173,1.5215347190876514,0.49464231140907083,3.5202855843818934,2.650404155657399,3.712111661203398,2.2191984969837124,4.915164677437757,3.1433766724753376,4.012421217626851,2.516311988323951
12,3.6114347120823473,3.145050332803283,0.03692656899835741,-0.09581578741380073,0.6964794872571862,0.9114415349159241,4.331514143716561,4.118737546583523,4.536447672452521,3.6175935049611225,3.288174488715399,2.325896997090308,1.7114785910922854,0.6534555391529981,3.609837169360185,2.830207593111422,4.028854862672185,3.0483139377801276,5.0364860952825214,3.6166713604484944,4.116615638010154,2.9554753849568765
13,4.116450367568732,3.757625064732299,0.4270101409449199,0.26399974213002414,2.082671627219296,0.49879567092891036,4.6213681471498935,4.207157907641287,4.707468696921709,4.031478231473168,3.3987738287636726,2.5595693432927584,1.844073144598687,0.32224047762475116,3.855383104195888,3.345218241525841,4.3634530017139115,3.2866614647624517,5.124101033451507,4.001386540270962,4.200727615701398,3.1916443092463327
14,4.12517930536934,3.767165831941905,0.6026645024546152,0.5791568790399504,2.031352418702452,0.25114145803649124,4.459431618637297,4.2102177073903455,4.762500686273344,4.204091604593504,3.4358396500078157,2.62148837674627,1.7697403998183483,0.26210429488616976,3.9028425879035527,3.1158035820952086,4.066346216140848,2.468740666489393,5.077108925697766,3.757898535501934,4.139197412727945,3.0542931211747915
15,4.216050894462621,3.9130428225901137,0.5670405927238937,0.6249605686530754,2.1909500088142146,0.9846909816365986,5.6095973853014565,4.258311995591391,4.60955986446191,3.736965594166206,3.320571285758024,2.4019083885801895,2.3968089860074286,0.775020385129438,3.615477711626047,2.84209147448251,4.053957038034622,2.409443482805621,5.071567519088679,3.8464547417465447,4.128577829945563,2.960848557055728
