"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10"
"Bulk.Density",-0.184330659868525,0.740522064555566,-0.0647315251352269,-0.465879266846373,0.428808521535444,0.0826552544752268,-0.0744834765517591,-0.00684696164183722,-0.0105976279615444,-5.37673046915186e-09
"Sand",-0.200498511804657,0.782368943602209,0.255273253844595,0.365559710379863,0.0466562073602503,-0.364904579889749,-0.11383225604035,0.00705080137118241,0.0236894135130475,9.01770773705612e-05
"Silt",-0.919935694665617,-0.00414105819609257,-0.339605020706587,-0.0440070495575115,-0.071056783440057,0.101478635824741,0.0525399291274441,0.0075360618368823,0.1351617304902,0.000262765479595798
"Clay",0.925292217079065,-0.247264690905717,0.235763000780995,-0.0758762425251663,0.0516869131491357,0.0223811012614359,-0.0126121720435026,-0.00929029914283977,-0.133922301222561,0.000280955664809568
"Moisture",-0.44315948239221,-0.551351050311265,0.588636468381618,-0.265984609331653,0.0835260607855008,-0.153806157984413,0.0545686236075477,0.215951633693329,0.0462083145648941,2.17975677584555e-08
"pH",-0.625524506331506,-0.485237414067412,0.140720676472402,0.394675898430596,0.400263794581678,0.0391926211621295,0.150723257212644,-0.110047830169285,-0.0334242185070256,-6.69237456034888e-08
"EC",-0.142646003923885,0.398444896008186,0.842653177201494,0.00789141602515793,-0.144257621699996,0.274059797574035,-0.000938271768040396,-0.10854021076438,0.0553736322031521,-3.90302360846705e-08
"Organic.Carbon",0.850849430730761,-0.135554884349987,-0.0375581634447946,0.335246181582572,0.195411620661821,0.20892980285048,-0.165194009930083,0.138439447264538,0.124850295003342,-1.7006039135402e-07
"Nitrogen",0.649075125722397,0.65102168816703,-0.043445889573495,0.0821205151832879,0.0131927653165992,0.0210337551758511,0.367672557635045,0.0998429303562205,0.0217423567327168,-4.14927755849948e-08
"CEC",0.852046173051438,-0.328509942348818,0.0445123921614155,-0.224486069691427,0.0788540964080119,-0.212727480408802,0.0512747864759886,-0.182543641592066,0.162175688590143,-2.99393477100602e-08
