Val,depth,Param
0.78,0-20 cm,Organic Carbon%
0.59,20-40 cm,Organic Carbon%
0.45,40-60 cm,Organic Carbon%
0.31,60-80 cm,Organic Carbon%
0.2,80-100 cm,Organic Carbon%
0.13,0-20 cm,Nitrogen%
0.11,20-40 cm,Nitrogen%
0.09,40-60 cm,Nitrogen%
0.08,60-80 cm,Nitrogen%
0.07,80-100 cm,Nitrogen%
