Val,depth,Param
0.89,0-20 cm,Oraginc Carbon%
0.71,20-40 cm,Oraginc Carbon%
0.47,40-60 cm,Oraginc Carbon%
0.37,60-80 cm,Oraginc Carbon%
0.28,80-100 cm,Oraginc Carbon%
0.14,0-20 cm,Nitrogen%
0.13,20-40 cm,Nitrogen%
0.09,40-60 cm,Nitrogen%
0.08,60-80 cm,Nitrogen%
0.06,80-100 cm,Nitrogen%
