Location,Carbon,Nitrogen,depth
Katka1,0.81,0.11,0-20 cm
Katka2,0.69,0.1,20-40 cm
Katka3,0.57,0.09,40-60 cm
Katka4,0.39,0.09,60-80 cm
Katka5,0.25,0.07,80-100 cm
