Location,BulkDensity,OrganicCarbon,SOCD,SOC
Karamjol1,1.59,1.495,0.023770500000000003,47.541000000000004
Karamjol2,1.52,2.374,0.0360848,72.1696
Karamjol3,1.39,3.852,0.053542799999999995,107.08559999999999
Karamjol4,1.39,7.472,0.1038608,207.7216
Karamjol5,1.46,9.435,0.137751,275.502
Harbaria1,1.52,1.389,0.0211128,42.2256
Harbaria2,1.48,2.071,0.030650800000000002,61.30160000000001
Harbaria3,1.4,3.745,0.052430000000000004,104.86
Harbaria4,1.49,7.338,0.1093362,218.6724
Harbaria5,1.37,9.127,0.1250399,250.07980000000003
Katka1,1.58,1.281,0.0202398,40.4796
Katka2,1.44,2.169,0.0312336,62.4672
Katka3,1.58,3.418,0.05400440000000001,108.00880000000001
Katka4,1.24,7.526,0.09332239999999999,186.6448
Katka5,1.26,8.92,0.112392,224.784
Hiron Point1,1.55,1.013,0.015701499999999997,31.403
Hiron Point2,1.49,1.896,0.028250399999999995,56.5008
Hiron Point3,1.52,3.205,0.048716,97.432
Hiron Point4,1.51,6.878,0.10385780000000001,207.7156
Hiron Point5,1.31,8.714,0.11415340000000002,228.30680000000004
Munshiganj1,1.41,1.25,0.017625,35.25
Munshiganj2,1.38,2.87,0.039605999999999995,79.212
Munshiganj3,1.33,3.34,0.044422,88.844
Munshiganj4,1.31,5.59,0.073229,146.458
Munshiganj5,1.24,8.13,0.10081200000000001,201.62400000000002
