Bulk Density,Sand,Silt,Clay,Moisture,pH,EC,OC,OM
1.586,5.665,43.26,51.075,38.102,7.95,6.428,0.815,1.402
1.443,3.271,48.749,47.98,37.489,8,6.529,0.695,1.195
1.579,4.524,54.346,41.13,47.908,8.61,6.113,0.568,0.977
1.24,3.929,50.017,46.054,44.91,8.48,5.819,0.391,0.673
1.261,3.183,54.314,42.503,46.309,8.75,5.972,0.25,0.43
