Val,depth,Param
0.95,0-20 cm,Organic Carbon%
0.74,20-40 cm,Organic Carbon%
0.52,40-60 cm,Organic Carbon%
0.46,60-80 cm,Organic Carbon%
0.35,80-100 cm,Organic Carbon%
0.1,0-20 cm,Nitrogen%
0.09,20-40 cm,Nitrogen%
0.09,40-60 cm,Nitrogen%
0.08,60-80 cm,Nitrogen%
0.07,80-100 cm,Nitrogen%
